id	moa	pert_id	pert_iname	pert_type	target_name	aud_q75	aud_med	aud_q25	aud_iqr	cell_id	query
BRD-K09549677	T-type calcium channel blocker	BRD-K09549677	mibefradil	trt_cp	CACNA1C|CACNA1G|CACNA1H|CACNA1I	0.19	0.15	0.12	0.06	-666	1.25
BRD-K38287497	HCV inhibitor	BRD-K38287497	narlaprevir	trt_cp	-666	0.12	0.09	0.06	0.07	-666	1.25
BRD-K96104201	Bacterial 50S ribosomal subunit inhibitor	BRD-K96104201	azalomycin-b	trt_cp	-666	0.49	0.46	0.42	0.07	-666	1.25
BRD-K46386702	EGFR inhibitor	BRD-K46386702	ARRY-334543	trt_cp	ERBB2|EGFR	0.26	0.22	0.17	0.09	-666	1.25
BRD-K65781196	Phosphodiesterase inhibitor	BRD-K65781196	avanafil	trt_cp	PDE5A	0.18	0.16	0.13	0.05	-666	1.25
BRD-K20290250	MEK inhibitor	BRD-K20290250	BIX-02188	trt_cp	-666	0.29	0.26	0.22	0.06	-666	1.24
BRD-A74208568	GABA receptor antagonist	BRD-A74208568	CGP-54626	trt_cp	GABBR1|GABBR2	0.17	0.15	0.13	0.05	-666	1.23
BRD-K00494077	Bacterial DNA gyrase inhibitor	BRD-K00494077	trovafloxacin	trt_cp	-666	0.26	0.21	0.18	0.08	-666	1.23
BRD-K49071277	GABA receptor antagonist|TP53 activator	BRD-K49071277	securinine	trt_cp	GABRA1	0.13	0.12	0.09	0.04	-666	1.23
BRD-K19540840	Src inhibitor	BRD-K19540840	saracatinib	trt_cp	ABL1|SRC	0.3	0.25	0.21	0.09	-666	1.23
BRD-K51747290	Ribonucleoside reductase inhibitor	BRD-K51747290	hydroxyurea	trt_cp	RRM1|RRM2	0.23	0.2	0.16	0.06	-666	1.23
BRD-A00758722	Progestogen hormone	BRD-A00758722	noretynodrel	trt_cp	PGR	0.25	0.22	0.19	0.06	-666	1.23
BRD-A23072235	Histamine receptor antagonist	BRD-A23072235	pheniramine	trt_cp	HRH1	0.28	0.23	0.19	0.09	-666	1.23
BRD-A49035384	Bacterial 50S ribosomal subunit inhibitor	BRD-A49035384	metacycline	trt_cp	-666	0.22	0.19	0.15	0.06	-666	1.23
BRD-K31627533	Glucocorticoid receptor agonist	BRD-K31627533	rimexolone	trt_cp	NR3C1	0.14	0.1	0.07	0.07	-666	1.23
BRD-K54247840	Collagenase inhibitor	BRD-K54247840	halofuginone	trt_cp	-666	0.59	0.54	0.48	0.11	-666	1.23
BRD-K34851558	NFkB pathway inhibitor|Adiponectin receptor agonist	BRD-K34851558	parthenolide-(-)	trt_cp	HDAC1	0.23	0.21	0.18	0.05	-666	1.23
BRD-K98548675	NFkB pathway inhibitor	BRD-K98548675	parthenolide	trt_cp	-666	0.27	0.24	0.21	0.06	-666	1.23
BRD-K83057217	Thymidylate synthase inhibitor	BRD-K83057217	doxifluridine	trt_cp	TYMS	0.26	0.23	0.2	0.05	-666	1.23
BRD-K08248804	XIAP inhibitor	BRD-K08248804	LCL-161	trt_cp	-666	0.26	0.21	0.17	0.09	-666	1.22
BRD-K68174511	MTOR inhibitor	BRD-K68174511	torin-2	trt_cp	MTOR	0.43	0.39	0.36	0.08	-666	1.22
BRD-A42699921	Dihydroorotate dehydrogenase inhibitor	BRD-A42699921	teriflunomide	trt_cp	DHODH	0.27	0.24	0.21	0.06	-666	1.22
BRD-A02367930	Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives	BRD-A02367930	ethinyl-estradiol	trt_cp	ESR1	0.19	0.16	0.12	0.06	-666	1.22
BRD-K27351809	Progesterone receptor agonist	BRD-K27351809	nomegestrol-acetate	trt_cp	PGR	0.11	0.08	0.06	0.05	-666	1.22
BRD-K51143828	Dopamine receptor antagonist|Serotonin receptor antagonist	BRD-K51143828	lurasidone	trt_cp	DRD2|HTR2A|HTR7|HTR1A|ADRA2A|ADRA2C	0.13	0.11	0.09	0.04	-666	1.22
BRD-A69815203	Calcineurin inhibitor	BRD-A69815203	cyclosporin-a	trt_cp	PPIA|PPP3CA	0.13	0.1	0.07	0.06	-666	1.22
BRD-K60341624	"Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Agonists"	BRD-K60341624	GSK-1292263	trt_cp	-666	0.21	0.18	0.16	0.05	-666	1.22
BRD-K51040301	Cytochrome P450 inhibitor	BRD-K51040301	cobicistat	trt_cp	CYP3A4	0.18	0.15	0.13	0.05	-666	1.21
BRD-K68633617	Glutamate receptor antagonist	BRD-K68633617	ACDPP	trt_cp	-666	0.18	0.15	0.12	0.06	-666	1.21
BRD-K32744045	Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist	BRD-K32744045	disulfiram	trt_cp	ALDH2	0.32	0.25	0.19	0.13	-666	1.21
BRD-K39171998	NAMPT inhibitor	BRD-K39171998	STF-118804	trt_cp	NAMPT	0.48	0.43	0.37	0.11	-666	1.21
BRD-K49075727	FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	BRD-K49075727	nintedanib	trt_cp	FLT1|FLT4|KDR|PDGFRA|FGFR1|FGFR3|PDGFRB	0.17	0.14	0.11	0.07	-666	1.21
BRD-K61195623	Tubulin inhibitor|Angiogenesis inhibitor|Apoptosis stimulant|Tubulin polymerisation inhibitor	BRD-K61195623	combretastatin-A-4	trt_cp	-666	0.47	0.39	0.33	0.14	-666	1.21
BRD-K58435339	HSP antagonist	BRD-K58435339	AT-13387	trt_cp	-666	0.43	0.39	0.35	0.08	-666	1.21
BRD-K90647725	G protein-coupled receptor agonist	BRD-K90647725	oleanolic-acid	trt_cp	-666	0.18	0.16	0.13	0.05	-666	1.2
BRD-K15108141	Ribonucleotide reductase inhibitor	BRD-K15108141	gemcitabine	trt_cp	RRM1	0.72	0.63	0.54	0.18	-666	1.2
BRD-K74141488	Fungal squalene epoxidase inhibitor	BRD-K74141488	naftifine	trt_cp	-666	0.17	0.15	0.12	0.05	-666	1.2
BRD-K74763371	Endothelin receptor antagonist	BRD-K74763371	bosentan	trt_cp	EDNRA|EDNRB	0.2	0.17	0.14	0.06	-666	1.2
BRD-K86118762	IGF-1 inhibitor	BRD-K86118762	linsitinib	trt_cp	IGF1R|INSR	0.2	0.17	0.14	0.06	-666	1.2
BRD-K30519779	Glutamate receptor agonist	BRD-K30519779	homoquinolinic-acid	trt_cp	-666	0.15	0.12	0.09	0.06	-666	1.2
BRD-A13133631	Glucocorticoid receptor agonist	BRD-A13133631	fluorometholone	trt_cp	NR3C1	0.32	0.27	0.22	0.1	-666	1.2
BRD-K36788280	CDK inhibitor	BRD-K36788280	ribociclib	trt_cp	CDK4|CDK6	0.24	0.19	0.15	0.08	-666	1.2
BRD-K96358241	Protein synthesis inhibitor	BRD-K96358241	harringtonine	trt_cp	-666	0.4	0.35	0.3	0.11	-666	1.2
BRD-K13390322	CDK inhibitor|Cell cycle inhibitor	BRD-K13390322	AT-7519	trt_cp	CDK1|CDK2|CDK4|CDK5|CDK6|CDK9	0.3	0.27	0.24	0.06	-666	1.2
BRD-K79254416	DNA methyltransferase inhibitor	BRD-K79254416	decitabine	trt_cp	DNMT1	0.41	0.35	0.28	0.13	-666	1.2
BRD-M80207679	Dopamine receptor antagonist	BRD-M80207679	nemonapride	trt_cp	DRD2|DRD3	0.11	0.08	0.06	0.05	-666	1.2
BRD-K73425385	Bacterial 30S ribosomal subunit inhibitor	BRD-K73425385	bekanamycin	trt_cp	-666	0.13	0.1	0.07	0.06	-666	1.19
BRD-K07762753	Tyrosine kinase inhibitor|CDK inhibitor	BRD-K07762753	aminopurvalanol-a	trt_cp	CDK1|CDK2|CDK5	0.26	0.23	0.19	0.06	-666	1.19
BRD-K88625236	Membrane integrity inhibitor	BRD-K88625236	nonoxynol-9	trt_cp	-666	0.25	0.21	0.18	0.07	-666	1.19
BRD-A58193911	Cholinergic receptor antagonist	BRD-A58193911	oxyphencyclimine	trt_cp	-666	0.37	0.31	0.25	0.12	-666	1.19
BRD-K34332569	Angiotensin converting enzyme inhibitor	BRD-K34332569	imidapril	trt_cp	ACE	0.29	0.25	0.21	0.08	-666	1.19
BRD-K75295174	Aurora kinase inhibitor	BRD-K75295174	alisertib	trt_cp	AURKA	0.34	0.29	0.24	0.1	-666	1.19
BRD-K15071410	Histamine receptor antagonist	BRD-K15071410	tiotidine	trt_cp	HRH2	0.19	0.16	0.14	0.05	-666	1.19
BRD-K00673382	Histamine receptor antagonist	BRD-K00673382	famotidine	trt_cp	HRH2	0.15	0.12	0.09	0.06	-666	1.18
BRD-K29254801	-666	BRD-K29254801	thiram	trt_cp	-666	0.51	0.44	0.38	0.13	-666	1.18
BRD-K51474575	Antioxidant	BRD-K51474575	taurine	trt_cp	-666	0.12	0.1	0.07	0.05	-666	1.18
BRD-K39467894	Bacterial DNA inhibitor	BRD-K39467894	nithiamide	trt_cp	-666	0.15	0.12	0.1	0.05	-666	1.18
BRD-K28907958	Retinoid receptor agonist	BRD-K28907958	CD-437	trt_cp	RARG	0.41	0.37	0.32	0.09	-666	1.18
BRD-K89014967	MEK inhibitor	BRD-K89014967	AS-703026	trt_cp	MAP2K1|MAP2K2	0.38	0.3	0.24	0.14	-666	1.18
BRD-K37618799	Adenosine receptor antagonist	BRD-K37618799	MRS-1220	trt_cp	ADORA3	0.17	0.12	0.08	0.09	-666	1.18
BRD-A27376179	FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor	BRD-A27376179	lestaurtinib	trt_cp	FLT3|NTRK1	0.4	0.35	0.31	0.09	-666	1.18
BRD-K36740062	Aurora kinase inhibitor	BRD-K36740062	GSK-1070916	trt_cp	AURKB|AURKC	0.4	0.34	0.28	0.12	-666	1.17
BRD-K57284066	HCV inhibitor	BRD-K57284066	Ro-9187	trt_cp	-666	0.23	0.2	0.17	0.06	-666	1.17
BRD-K18157228	DNA methyltransferase inhibitor	BRD-K18157228	fdcyd	trt_cp	-666	0.41	0.35	0.3	0.11	-666	1.17
BRD-K97010173	Chelating agent	BRD-K97010173	deferasirox	trt_cp	CYP3A4	0.18	0.15	0.12	0.06	-666	1.17
BRD-K06152156	Membrane permeability inhibitor	BRD-K06152156	methoxyflurane	trt_cp	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1	0.29	0.25	0.21	0.09	-666	1.17
BRD-K19318328	Endothelin receptor antagonist	BRD-K19318328	FR-139317	trt_cp	EDNRA	0.23	0.2	0.17	0.07	-666	1.17
BRD-K43002771	Calcium channel blocker	BRD-K43002771	SR-33805	trt_cp	-666	0.32	0.28	0.25	0.07	-666	1.17
BRD-K31309378	FGFR inhibitor|VEGFR inhibitor	BRD-K31309378	lucitanib	trt_cp	FGFR1|FLT1|KDR|FGFR2|FLT4	0.21	0.18	0.14	0.06	-666	1.17
BRD-K90497590	Phosphoinositide dependent kinase inhibitor	BRD-K90497590	AR-12	trt_cp	PDPK1	0.3	0.26	0.23	0.08	-666	1.17
BRD-K12932420	Phosphodiesterase inhibitor	BRD-K12932420	YM-976	trt_cp	PDE4A	0.15	0.12	0.1	0.05	-666	1.17
BRD-K47114202	Antioxidant	BRD-K47114202	chlorogenic-acid	trt_cp	-666	0.23	0.19	0.16	0.07	-666	1.17
BRD-K56614220	GK0582 inhibitor	BRD-K56614220	clofazimine	trt_cp	-666	0.19	0.16	0.14	0.06	-666	1.17
BRD-K00662280	GABA receptor agonist	BRD-K00662280	CL-218872	trt_cp	GABRA1	0.11	0.08	0.06	0.05	-666	1.16
BRD-K30480208	Electrolyte reabsorption inhibitor|Thromboxane receptor antagonist	BRD-K30480208	torasemide	trt_cp	SLC12A1	0.18	0.15	0.12	0.06	-666	1.16
BRD-A98299281	Cholinesterase inhibitor	BRD-A98299281	"hydroxytacrine-maleate-(r,s)"	trt_cp	-666	0.16	0.12	0.09	0.08	-666	1.16
BRD-A01346607	Glucocorticoid receptor agonist	BRD-A01346607	flumetasone	trt_cp	NR3C1	0.23	0.18	0.13	0.1	-666	1.16
BRD-K40331046	CDK inhibitor	BRD-K40331046	CR8-(R)	trt_cp	-666	0.5	0.46	0.41	0.09	-666	1.16
BRD-K90947825	DNA alkylating drug|DNA inhibitor	BRD-K90947825	carboplatin	trt_cp	-666	0.23	0.19	0.16	0.07	-666	1.16
BRD-K98521173	Mineralocorticoid receptor agonist	BRD-K98521173	desoxycortone	trt_cp	NR3C2	0.19	0.16	0.13	0.06	-666	1.16
BRD-K85606544	EGFR inhibitor	BRD-K85606544	neratinib	trt_cp	EGFR|ERBB2|ERBB4	0.27	0.22	0.17	0.09	-666	1.15
BRD-K28383148	-666	BRD-K28383148	AP-1903	trt_cp	-666	0.17	0.13	0.09	0.08	-666	1.15
BRD-K20482099	Antioxidant|Capillary stabilizing agent|Nitric oxide scavenger	BRD-K20482099	rutin	trt_cp	AKR1C3	0.23	0.19	0.17	0.07	-666	1.15
BRD-A92872453	-666	BRD-A92872453	N-acetylmannosamine	trt_cp	-666	0.2	0.16	0.13	0.07	-666	1.15
BRD-K66296774	HMGCR inhibitor	BRD-K66296774	fluvastatin	trt_cp	HMGCR	0.4	0.34	0.27	0.14	-666	1.15
BRD-K15600710	BCL inhibitor	BRD-K15600710	obatoclax	trt_cp	BCL2	0.43	0.38	0.33	0.1	-666	1.15
BRD-K60230970	Proteasome inhibitor	BRD-K60230970	MG-132	trt_cp	PSMB1	0.59	0.55	0.51	0.09	-666	1.15
BRD-K81225797	Adenosine receptor antagonist	BRD-K81225797	SCH-58261	trt_cp	ADORA1|ADORA2A	0.15	0.12	0.09	0.06	-666	1.15
BRD-K07202345	Immunosuppressant	BRD-K07202345	frentizole	trt_cp	-666	0.28	0.23	0.2	0.08	-666	1.15
BRD-K50140147	ALK tyrosine kinase receptor inhibitor	BRD-K50140147	NVP-TAE684	trt_cp	ALK	0.37	0.33	0.29	0.09	-666	1.14
BRD-A10977446	Adrenergic receptor antagonist	BRD-A10977446	carvedilol	trt_cp	ADRA1A|ADRA1B|ADRA1D|ADRB1|ADRB2|ADRB3	0.23	0.2	0.16	0.07	-666	1.14
BRD-K83257731	Histamine receptor antagonist	BRD-K83257731	chloropyramine	trt_cp	HRH1	0.35	0.32	0.28	0.07	-666	1.14
BRD-A55312468	-666	BRD-A55312468	K-strophanthidin	trt_cp	-666	0.26	0.23	0.19	0.07	-666	1.14
BRD-K02113016	PARP inhibitor	BRD-K02113016	olaparib	trt_cp	PARP1|PARP2	0.18	0.14	0.11	0.07	-666	1.14
BRD-K43471985	Bromodomain inhibitor	BRD-K43471985	OTX-015	trt_cp	-666	0.27	0.21	0.13	0.14	-666	1.14
BRD-K03273112	Glycogen synthase kinase inhibitor	BRD-K03273112	1-azakenpaullone	trt_cp	GSK3B|CDK1|CDK5	0.22	0.18	0.14	0.08	-666	1.14
BRD-K06294530	Procollagen C-Endopeptidase Inhibitors	BRD-K06294530	UK-383367	trt_cp	-666	0.23	0.2	0.17	0.06	-666	1.14
BRD-K61734568	Bcl-XL downregulator	BRD-K61734568	"2,3-DCPE"	trt_cp	BCL2L1	0.24	0.2	0.16	0.08	-666	1.14
BRD-K67298865	TGF beta receptor inhibitor	BRD-K67298865	SB-431542	trt_cp	ACVR1C|TGFBR1	0.36	0.32	0.28	0.08	-666	1.14
BRD-K75037734	Cholinergic receptor agonist	BRD-K75037734	carbachol	trt_cp	CHRM1|CHRM2|CHRNA2	0.1	0.07	0.05	0.05	-666	1.13
BRD-K09397065	Serotonin receptor agonist	BRD-K09397065	SR-57227A	trt_cp	HTR3A	0.15	0.11	0.08	0.06	-666	1.13
BRD-K25835157	-666	BRD-K25835157	cerdulatinib	trt_cp	-666	0.21	0.18	0.14	0.07	-666	1.13
BRD-K18613660	-666	BRD-K18613660	mexeneone	trt_cp	-666	0.12	0.1	0.07	0.05	-666	1.13
BRD-K25690923	Macrophage inhibitor	BRD-K25690923	4-iodo-6-phenylpyrimidine	trt_cp	MIF	0.12	0.1	0.07	0.04	-666	1.13
BRD-K19761926	Cytochrome P450 inhibitor	BRD-K19761926	eplerenone	trt_cp	NR3C2	0.28	0.25	0.22	0.07	-666	1.13
BRD-A66419424	Proteasome inhibitor	BRD-A66419424	ixazomib-citrate	trt_cp	-666	0.48	0.44	0.4	0.08	-666	1.13
BRD-K12867552	HDAC inhibitor	BRD-K12867552	PCI-24781	trt_cp	HDAC1|HDAC10|HDAC2|HDAC3|HDAC6	0.42	0.38	0.34	0.08	-666	1.13
BRD-K14175878	CC chemokine receptor antagonist	BRD-K14175878	MK-0812	trt_cp	CCR2	0.11	0.09	0.06	0.05	-666	1.13
BRD-K42756753	Steroid	BRD-K42756753	epiandrosterone	trt_cp	-666	0.11	0.08	0.06	0.05	-666	1.13
BRD-M97302542	Pyruvate dehydrogenase kinase inhibitor	BRD-M97302542	dichloroacetate	trt_cp	-666	0.25	0.22	0.19	0.06	-666	1.13
BRD-K36222532	-666	BRD-K36222532	broxaldine	trt_cp	-666	0.3	0.25	0.21	0.08	-666	1.13
BRD-K08078237	Calcium channel blocker	BRD-K08078237	tetrandrine	trt_cp	-666	0.28	0.26	0.24	0.04	-666	1.13
BRD-K73073971	-666	BRD-K73073971	ZLN-005	trt_cp	-666	0.15	0.12	0.09	0.06	-666	1.12
BRD-K62965247	Farnesyltransferase inhibitor	BRD-K62965247	tipifarnib-P2	trt_cp	FNTA|FNTB	0.28	0.23	0.18	0.1	-666	1.12
BRD-K64504314	Progesterone receptor agonist	BRD-K64504314	dienogest	trt_cp	PGR	0.2	0.17	0.14	0.06	-666	1.12
BRD-A25569250	Lysophosphatidic acid receptor antagonist	BRD-A25569250	KI-16425	trt_cp	LPAR1|LPAR3	0.19	0.16	0.13	0.06	-666	1.12
BRD-A96754982	Calcineurin inhibitor	BRD-A96754982	tacrolimus	trt_cp	FKBP1A	0.21	0.18	0.15	0.06	-666	1.12
BRD-K17849083	Angiogenesis inhibitor	BRD-K17849083	tranilast	trt_cp	-666	0.31	0.26	0.22	0.09	-666	1.12
BRD-K40797222	Dihydroorotate dehydrogenase inhibitor	BRD-K40797222	SC-12267	trt_cp	DHODH|IL17A	0.12	0.1	0.08	0.04	-666	1.12
BRD-A63546914	Glutamate receptor antagonist	BRD-A63546914	Ro-04-5595	trt_cp	GRIN2B	0.15	0.12	0.09	0.06	-666	1.12
BRD-K24593301	ALK tyrosine kinase receptor inhibitor|Insulin growth factor receptor inhibitor	BRD-K24593301	AZD-3463	trt_cp	-666	0.44	0.4	0.35	0.09	-666	1.12
BRD-K65877271	Glucocorticoid receptor agonist|Immunosuppressant	BRD-K65877271	halobetasol-propionate	trt_cp	NR3C1	0.2	0.16	0.11	0.09	-666	1.12
BRD-A14886633	Progesterone receptor agonist	BRD-A14886633	norgestrel	trt_cp	-666	0.15	0.12	0.09	0.06	-666	1.12
BRD-K76180386	Histone lysine demethylase inhibitor	BRD-K76180386	JIB04	trt_cp	KDM4E	0.35	0.31	0.27	0.08	-666	1.12
BRD-K86525559	CHK inhibitor	BRD-K86525559	AZD-7762	trt_cp	CHEK1|CHEK2	0.48	0.43	0.39	0.09	-666	1.12
BRD-A11319535	Immunosuppressant|Glucocorticoid receptor agonist	BRD-A11319535	beclomethasone-dipropionate	trt_cp	NR3C1	0.19	0.16	0.12	0.07	-666	1.12
BRD-K45293975	CDK inhibitor|CHK inhibitor|PKC inhibitor	BRD-K45293975	7-hydroxystaurosporine	trt_cp	CHEK1|PDPK1|CDK1|CDK4|CHEK2|PRKCA	0.41	0.37	0.33	0.08	-666	1.12
BRD-K41213548	HSP inhibitor	BRD-K41213548	KW-2478	trt_cp	-666	0.37	0.32	0.26	0.11	-666	1.11
BRD-K80608265	Estrogen receptor agonist	BRD-K80608265	erteberel	trt_cp	ESR2	0.16	0.13	0.1	0.06	-666	1.11
BRD-A10903566	Adrenergic receptor antagonist	BRD-A10903566	imiloxan	trt_cp	ADRA2A|ADRA2B	0.12	0.09	0.07	0.05	-666	1.11
BRD-A74391928	Potassium channel blocker	BRD-A74391928	ibutilide	trt_cp	KCNH2|CACNA1C	0.22	0.18	0.15	0.07	-666	1.11
BRD-K60025295	Other antibiotic	BRD-K60025295	crystal-violet	trt_cp	-666	0.52	0.48	0.44	0.08	-666	1.11
BRD-A92630576	Opioid receptor agonist	BRD-A92630576	trimebutine	trt_cp	OPRD1|OPRK1|OPRM1	0.23	0.19	0.15	0.08	-666	1.11
BRD-A93236127	ATPase inhibitor	BRD-A93236127	digitoxin	trt_cp	ATP1A1	0.53	0.47	0.42	0.12	-666	1.11
BRD-K68095457	Cannabinoid receptor agonist	BRD-K68095457	palmitoylethanolamide	trt_cp	CNR2|GPR119	0.09	0.07	0.05	0.04	-666	1.1
BRD-K71221037	XIAP inhibitor	BRD-K71221037	birinapant	trt_cp	BIRC2|XIAP	0.21	0.14	0.09	0.12	-666	1.1
BRD-K73794685	Bacterial 50S ribosomal subunit inhibitor	BRD-K73794685	azithromycin	trt_cp	-666	0.29	0.26	0.23	0.06	-666	1.1
BRD-K12068470	Glucokinase activator	BRD-K12068470	LY-2608204	trt_cp	-666	0.39	0.34	0.3	0.08	-666	1.1
BRD-K27182532	Bcr-Abl kinase inhibitor	BRD-K27182532	metatinib	trt_cp	ABL1|BCR	0.32	0.27	0.23	0.08	-666	1.1
BRD-K49371609	DNA protein kinase inhibitor|PI3K inhibitor	BRD-K49371609	PIK-75	trt_cp	PIK3CA	0.58	0.55	0.5	0.08	-666	1.1
BRD-A51964809	Antimalarial agent	BRD-A51964809	halofantrine	trt_cp	-666	0.15	0.12	0.1	0.05	-666	1.1
BRD-K23779958	Acetylcholinesterase inhibitor	BRD-K23779958	dichlorvos	trt_cp	-666	0.41	0.36	0.32	0.1	-666	1.1
BRD-K66808046	Chelating agent	BRD-K66808046	oxyquinoline	trt_cp	-666	0.26	0.22	0.17	0.09	-666	1.1
BRD-K90027355	Mineralocorticoid receptor antagonist	BRD-K90027355	spironolactone	trt_cp	NR3C2	0.38	0.34	0.29	0.09	-666	1.1
BRD-K93869735	Thyrotropin releasing hormone receptor agonist	BRD-K93869735	taltirelin	trt_cp	TRHR	0.2	0.16	0.13	0.07	-666	1.1
BRD-A74914197	Dihydrofolate reductase inhibitor	BRD-A74914197	pralatrexate	trt_cp	DHFR	0.53	0.46	0.39	0.13	-666	1.09
BRD-K36467523	NFkB pathway inhibitor	BRD-K36467523	bindarit	trt_cp	CCL2|CCL7|CCL8	0.13	0.11	0.08	0.05	-666	1.09
BRD-K42981054	Glutamate receptor modulator	BRD-K42981054	mibampator	trt_cp	GRIA1	0.21	0.18	0.15	0.06	-666	1.09
BRD-K22127577	PDGFR tyrosine kinase receptor inhibitor	BRD-K22127577	crenolanib	trt_cp	PDGFRB|PDGFRA	0.35	0.32	0.28	0.07	-666	1.09
BRD-K67043667	DNA synthesis inhibitor	BRD-K67043667	altretamine	trt_cp	-666	0.11	0.08	0.05	0.06	-666	1.09
BRD-K13094524	Bromodomain inhibitor	BRD-K13094524	PFI-1	trt_cp	-666	0.33	0.28	0.24	0.1	-666	1.09
BRD-K40496271	Thrombopoietin receptor agonist	BRD-K40496271	eltrombopag	trt_cp	MPL	0.23	0.2	0.16	0.07	-666	1.09
BRD-K77677632	Serotonin receptor antagonist	BRD-K77677632	SB-200646	trt_cp	HTR2B|HTR2C	0.21	0.17	0.14	0.07	-666	1.08
BRD-K37764012	P21 activated kinase inhibitor	BRD-K37764012	PF-03758309	trt_cp	PAK4	0.44	0.39	0.33	0.11	-666	1.08
BRD-K42497885	DNA alkylating drug	BRD-K42497885	satraplatin	trt_cp	-666	0.24	0.2	0.16	0.08	-666	1.08
BRD-K28570407	Sodium channel blocker	BRD-K28570407	A-803467	trt_cp	SCN10A	0.18	0.16	0.13	0.05	-666	1.08
BRD-K36269323	Dimethylarginine dimethylaminohydrolase inhibitor|Nitric oxide synthase inhibitor	BRD-K36269323	asymmetrical-dimethylarginine	trt_cp	NOS2|NOS3	0.23	0.2	0.16	0.07	-666	1.08
BRD-A05821830	Tubulin inhibitor	BRD-A05821830	docetaxel	trt_cp	TUBB	0.62	0.54	0.45	0.16	-666	1.08
BRD-K11244467	DNA damage inducer	BRD-K11244467	ambazone	trt_cp	-666	0.12	0.1	0.08	0.04	-666	1.08
BRD-K12885236	Non-nucleoside reverse transcriptase inhibitor	BRD-K12885236	dapivirine	trt_cp	CYP3A5|CYP3A4	0.23	0.2	0.17	0.06	-666	1.08
BRD-K45252063	PPAR receptor agonist	BRD-K45252063	clofibrate	trt_cp	PPARA	0.13	0.1	0.08	0.06	-666	1.08
BRD-K99498722	Tubulin inhibitor	BRD-K99498722	plinabulin	trt_cp	-666	0.55	0.48	0.41	0.14	-666	1.08
BRD-K07487750	JAK inhibitor	BRD-K07487750	WHI-P154	trt_cp	EGFR|JAK3	0.21	0.17	0.13	0.08	-666	1.08
BRD-K39252998	Adrenergic receptor antagonist	BRD-K39252998	atipamezole	trt_cp	-666	0.2	0.17	0.13	0.06	-666	1.08
BRD-K12829205	DNA inhibitor	BRD-K12829205	mechlorethamine	trt_cp	-666	0.26	0.23	0.2	0.06	-666	1.07
BRD-K06858286	Microtubule inhibitor	BRD-K06858286	cabazitaxel	trt_cp	-666	0.68	0.6	0.51	0.18	-666	1.07
BRD-K07572174	Cyclooxygenase inhibitor|Histone acetyltransferase inhibitor|Lipoxygenase inhibitor|NFkB pathway inhibitor	BRD-K07572174	curcumin	trt_cp	PTGS1|PTGS2	0.32	0.29	0.26	0.06	-666	1.07
BRD-K13314656	Histamine receptor antagonist	BRD-K13314656	ebastine	trt_cp	HRH1|CYP3A4	0.23	0.21	0.19	0.05	-666	1.07
BRD-K27217864	Sodium channel blocker	BRD-K27217864	butamben	trt_cp	-666	0.21	0.18	0.15	0.06	-666	1.07
BRD-K31491153	Serotonin receptor agonist	BRD-K31491153	1-phenylbiguanide	trt_cp	-666	0.19	0.16	0.13	0.06	-666	1.07
BRD-K67566344	MTOR inhibitor	BRD-K67566344	KU-0063794	trt_cp	MTOR	0.29	0.25	0.21	0.07	-666	1.07
BRD-K67772619	Protein tyrosine kinase inhibitor	BRD-K67772619	rheochrysidin	trt_cp	PTPN1	0.22	0.19	0.16	0.06	-666	1.07
BRD-K69172251	DNA alkylating agent|DNA synthesis inhibitor	BRD-K69172251	cisplatin	trt_cp	XIAP	0.21	0.18	0.16	0.05	-666	1.07
BRD-K56343971	RAF inhibitor	BRD-K56343971	vemurafenib	trt_cp	BRAF	0.15	0.11	0.08	0.07	-666	1.07
BRD-K16136380	ATP synthase inhibitor	BRD-K16136380	pyrithione-zinc	trt_cp	-666	0.57	0.54	0.5	0.07	-666	1.07
BRD-K01683783	Aurora kinase inhibitor	BRD-K01683783	TAK-901	trt_cp	AURKB	0.4	0.36	0.31	0.1	-666	1.07
BRD-K20605374	Ubiquitin-conjugating enzyme inhibitor	BRD-K20605374	NSC-697923	trt_cp	UBE2N	0.36	0.33	0.3	0.06	-666	1.07
BRD-K31812033	Adrenergic receptor antagonist	BRD-K31812033	levobunolol	trt_cp	ADRB1|ADRB2	0.22	0.2	0.17	0.05	-666	1.07
BRD-K36529613	HSP inhibitor	BRD-K36529613	PU-H71	trt_cp	HSP90AA1	0.41	0.37	0.32	0.09	-666	1.07
BRD-K47598052	Abl kinase inhibitor|Src inhibitor	BRD-K47598052	PP-1	trt_cp	-666	0.2	0.16	0.13	0.07	-666	1.07
BRD-K82818427	Matrix metalloprotease inhibitor	BRD-K82818427	batimastat	trt_cp	-666	0.33	0.28	0.24	0.09	-666	1.07
BRD-K83988098	HSP inhibitor	BRD-K83988098	alvespimycin	trt_cp	HSP90AA1	0.8	0.71	0.63	0.17	-666	1.07
