Number of Drugs in Set,Simulation Number,values.to.vary,ES,NES,p,pos_at_max,q
10,29,1,0.77534,1.98,0.00683,256,0.106
10,30,-1,-0.9167,-2.34,0,1238,0.00101
10,30,-0.75,-0.73677,-1.84,0.00617,1177,0.247
10,30,-0.5,-0.57918,-1.49,0.099,1197,0.485
10,30,-0.25,-0.63443,-1.62,0.0573,1223,0.311
10,30,0,0.57087,1.44,0.115,67,0.945
10,30,0.25,0.56323,1.42,0.112,329,0.865
10,30,0.5,0.65632,1.67,0.0397,203,0.537
10,30,0.75,0.82149,2.07,0.00196,123,0.0621
10,30,1,0.78878,2.01,0.00393,236,0.0951
10,31,-1,-0.89391,-2.24,0.00202,1220,0.00774
10,31,-0.75,-0.67528,-1.76,0.0198,933,0.981
10,31,-0.5,-0.66385,-1.7,0.0391,1050,1
10,31,-0.25,-0.56343,-1.44,0.107,937,0.967
10,31,0,0.30059,0.766,0.754,349,1
10,31,0.25,-0.27226,-0.704,0.821,1096,1
10,31,0.5,0.70872,1.85,0.0159,337,0.589
10,31,0.75,0.79841,2.1,0.00194,130,0.0527
10,31,1,0.89788,2.25,0,122,0.00637
10,32,-1,-0.82479,-2.07,0,1157,0.0524
10,32,-0.75,-0.8375,-2.12,0.00195,1196,0.0331
10,32,-0.5,-0.76125,-1.89,0.00195,1164,0.413
10,32,-0.25,-0.56251,-1.43,0.119,1152,0.731
10,32,0,-0.43781,-1.1,0.323,1240,1
10,32,0.25,0.25439,0.659,0.877,277,0.978
10,32,0.5,0.69076,1.79,0.0232,341,0.321
10,32,0.75,0.80107,2.07,0,219,0.0511
10,32,1,0.86204,2.13,0,195,0.0278
10,33,-1,-0.85533,-2.19,0,1147,0.0115
10,33,-0.75,-0.75651,-1.89,0.0152,1079,0.144
10,33,-0.5,-0.76355,-1.98,0.00388,1223,0.0794
10,33,-0.25,-0.47476,-1.2,0.261,1153,0.955
10,33,0,0.1827,0.473,0.99,1106,0.988
10,33,0.25,0.79231,2.01,0.00407,119,0.077
10,33,0.5,0.70452,1.8,0.012,270,0.45
10,33,0.75,0.81775,2.1,0,72,0.0271
10,33,1,0.85232,2.14,0,122,0.0178
10,34,-1,-0.89656,-2.28,0,1269,0.00238
10,34,-0.75,-0.75613,-1.94,0.00202,1106,0.0925
10,34,-0.5,-0.78978,-2.01,0.00194,1172,0.0747
10,34,-0.25,-0.53097,-1.35,0.177,1240,0.925
10,34,0,-0.32095,-0.804,0.678,1054,0.953
10,34,0.25,0.48892,1.26,0.186,284,0.97
10,34,0.5,0.77741,1.95,0.00189,223,0.179
10,34,0.75,0.81531,2.05,0.00192,200,0.0457
10,34,1,0.77982,1.97,0,49,0.122
10,35,-1,-0.83529,-2.08,0.00186,1231,0.0477
10,35,-0.75,-0.70395,-1.86,0.00903,944,0.249
10,35,-0.5,-0.80697,-2.08,0.00198,1197,0.0523
10,35,-0.25,-0.513,-1.31,0.189,1203,1
10,35,0,0.43083,1.13,0.321,121,0.879
10,35,0.25,0.24829,0.655,0.849,280,0.939
10,35,0.5,0.73467,1.93,0.00429,255,0.0848
10,35,0.75,0.83757,2.18,0.00202,106,0.0185
10,35,1,0.91695,2.42,0,96,0
10,36,-1,-0.85195,-2.12,0.00185,1170,0.0249
10,36,-0.75,-0.79936,-2.04,0,1286,0.0917
10,36,-0.5,-0.89882,-2.25,0,1317,0
10,36,-0.25,-0.56862,-1.46,0.111,1020,0.75
10,36,0,-0.29584,-0.754,0.766,1326,1
10,36,0.25,0.5293,1.37,0.119,522,0.809
10,36,0.5,0.79287,1.98,0.00881,199,0.0701
10,36,0.75,0.70765,1.81,0.0171,306,0.263
10,36,1,0.85833,2.17,0.00207,142,0.0197
10,37,-1,-0.84198,-2.19,0.00202,1337,0.0101
10,37,-0.75,-0.84259,-2.18,0,1172,0.0219
10,37,-0.5,-0.71506,-1.83,0.0104,1014,0.308
10,37,-0.25,-0.52577,-1.3,0.209,967,0.799
10,37,0,-0.36982,-0.929,0.526,1279,0.95
10,37,0.25,0.66679,1.68,0.024,299,1
10,37,0.5,0.71407,1.86,0.00573,120,0.493
10,37,0.75,0.87348,2.15,0,86,0.0187
10,37,1,0.79882,2.01,0.00381,265,0.115
10,38,-1,-0.78039,-2.01,0.00198,1080,0.147
10,38,-0.75,-0.71407,-1.8,0.00798,1243,0.868
10,38,-0.5,-0.72225,-1.87,0.00984,1097,0.519
10,38,-0.25,0.31865,0.823,0.67,244,0.893
10,38,0,-0.33749,-0.846,0.602,1190,1
10,38,0.25,0.53794,1.36,0.156,359,0.631
10,38,0.5,0.75906,1.91,0.00949,277,0.26
10,38,0.75,0.77958,1.98,0.00202,164,0.136
10,38,1,0.90006,2.27,0,67,0.000879
10,39,-1,-0.89937,-2.26,0,1277,0.00447
10,39,-0.75,-0.79553,-2.04,0.00418,1216,0.0432
10,39,-0.5,-0.67823,-1.74,0.0331,1107,0.327
10,39,-0.25,-0.62371,-1.59,0.0537,1129,0.334
10,39,0,0.37577,0.964,0.472,140,0.869
10,39,0.25,0.50033,1.29,0.171,41,1
10,39,0.5,0.716,1.79,0.00982,322,0.789
10,39,0.75,0.69777,1.75,0.0193,361,1
10,39,1,0.88311,2.28,0,157,0.00335
10,40,-1,-0.86596,-2.18,0,1256,0.028
10,40,-0.75,-0.69275,-1.79,0.0133,1059,0.393
10,40,-0.5,-0.829,-2.13,0.00212,1231,0.0358
10,40,-0.25,-0.58297,-1.5,0.0813,1236,0.496
10,40,0,0.57883,1.45,0.0882,205,0.827
10,40,0.25,0.69126,1.7,0.0284,341,1
10,40,0.5,0.60837,1.52,0.075,267,0.729
10,40,0.75,0.9107,2.32,0,98,0.000974
10,40,1,0.91623,2.24,0,56,0.00196
10,41,-1,-0.80835,-2.06,0.00187,1084,0.0391
10,41,-0.75,-0.88896,-2.22,0,1246,0.00691
10,41,-0.5,-0.54408,-1.34,0.158,955,0.746
10,41,-0.25,-0.55106,-1.39,0.136,1171,0.81
10,41,0,-0.5171,-1.31,0.174,1097,0.68
10,41,0.25,0.63594,1.61,0.0518,374,1
10,41,0.5,0.73461,1.83,0.0102,164,0.606
10,41,0.75,0.78449,2,0.00433,299,0.142
10,41,1,0.8617,2.22,0,127,0.0105
10,42,-1,-0.89574,-2.29,0,1209,0.000988
10,42,-0.75,-0.70554,-1.78,0.0135,1089,0.79
10,42,-0.5,-0.63575,-1.64,0.0581,971,1
10,42,-0.25,-0.42397,-1.09,0.359,884,1
10,42,0,-0.3916,-1.01,0.433,1231,1
10,42,0.25,-0.33756,-0.866,0.6,1344,1
10,42,0.5,0.65947,1.68,0.0261,136,0.55
10,42,0.75,0.90625,2.27,0,65,0.00429
10,42,1,0.69063,1.77,0.0162,192,0.489
10,43,-1,-0.83834,-2.15,0,1315,0.019
10,43,-0.75,-0.78504,-1.97,0.00226,1204,0.178
10,43,-0.5,-0.80792,-2.04,0.00201,1169,0.0753
10,43,-0.25,-0.47468,-1.22,0.221,1034,1
10,43,0,0.31526,0.784,0.731,6,0.9
10,43,0.25,0.57968,1.44,0.112,161,0.65
10,43,0.5,0.80701,2.01,0.00175,155,0.111
10,43,0.75,0.81641,2.08,0,202,0.0429
10,43,1,0.77567,1.92,0.00186,234,0.224
10,44,-1,-0.80217,-2.01,0,1139,0.0919
10,44,-0.75,-0.70357,-1.73,0.0181,1254,0.383
10,44,-0.5,-0.62694,-1.54,0.0681,999,0.883
10,44,-0.25,-0.56777,-1.42,0.137,998,0.821
10,44,0,0.54403,1.41,0.113,285,0.661
10,44,0.25,0.50015,1.23,0.232,247,0.836
10,44,0.5,0.53889,1.38,0.14,138,0.678
10,44,0.75,0.78637,1.96,0.0021,245,0.191
10,44,1,0.8777,2.24,0,174,0.00273
10,45,-1,-0.90529,-2.31,0,1214,0.00103
10,45,-0.75,-0.84191,-2.08,0,1129,0.0446
10,45,-0.5,-0.78001,-2,0.00197,1046,0.133
10,45,-0.25,-0.46795,-1.19,0.254,1247,0.983
10,45,0,-0.37235,-0.931,0.527,1240,0.895
10,45,0.25,0.58993,1.49,0.103,138,1
10,45,0.5,0.58941,1.52,0.0861,176,1
10,45,0.75,0.62709,1.58,0.0607,426,1
10,45,1,0.89987,2.31,0,92,0.00201
10,46,-1,-0.86639,-2.23,0,1269,0.0146
10,46,-0.75,-0.765,-1.96,0.00858,1283,0.132
10,46,-0.5,-0.70034,-1.85,0.0108,1185,0.373
10,46,-0.25,-0.48362,-1.28,0.194,1025,0.652
10,46,0,-0.36544,-0.959,0.5,1062,1
10,46,0.25,0.50769,1.32,0.154,99,0.636
10,46,0.5,-0.20435,-0.537,0.966,1300,1
10,46,0.75,0.77837,1.98,0.00184,207,0.129
10,46,1,0.84756,2.1,0.00186,120,0.0232
10,47,-1,-0.87986,-2.23,0,1270,0.00751
10,47,-0.75,-0.82395,-2.05,0,1206,0.0871
10,47,-0.5,-0.70285,-1.8,0.0139,1080,0.392
10,47,-0.25,-0.72943,-1.85,0.0133,1272,0.283
10,47,0,-0.39789,-1.01,0.439,1206,0.995
10,47,0.25,0.69465,1.82,0.00849,321,0.687
10,47,0.5,0.70332,1.77,0.0195,163,0.864
10,47,0.75,0.80782,2.12,0.00401,79,0.0436
10,47,1,0.89559,2.28,0,79,0.00302
10,48,-1,-0.80109,-2.1,0,1165,0.0524
10,48,-0.75,-0.81526,-2.1,0,1285,0.0621
10,48,-0.5,-0.6709,-1.73,0.0183,1140,0.606
10,48,-0.25,-0.523,-1.36,0.15,1190,0.977
10,48,0,0.54241,1.38,0.122,233,0.835
10,48,0.25,0.25531,0.652,0.876,487,1
10,48,0.5,0.71811,1.84,0.0125,128,0.286
10,48,0.75,0.78404,2,0.0039,283,0.134
10,48,1,0.89405,2.24,0,102,0.00215
10,49,-1,-0.85559,-2.17,0,1270,0.0107
10,49,-0.75,-0.72395,-1.83,0.00988,1212,0.242
10,49,-0.5,-0.67853,-1.71,0.0352,1146,0.628
10,49,-0.25,-0.19408,-0.486,0.973,996,1
10,49,0,-0.40045,-1.02,0.423,963,0.899
10,49,0.25,0.46272,1.18,0.286,106,0.729
10,49,0.5,0.81305,2.1,0.00198,75,0.0515
10,49,0.75,0.80903,2.09,0.00196,245,0.0598
10,49,1,0.86779,2.19,0,112,0.0144
10,50,-1,-0.94109,-2.39,0,1262,0
10,50,-0.75,-0.8687,-2.19,0.00182,1219,0.0131
10,50,-0.5,-0.68452,-1.76,0.0191,1197,0.348
10,50,-0.25,-0.42752,-1.08,0.34,1097,1
10,50,0,-0.17642,-0.443,0.996,1007,0.994
10,50,0.25,0.3961,1.04,0.359,252,1
10,50,0.5,0.69997,1.75,0.0162,90,0.924
10,50,0.75,0.79466,2.05,0.0042,185,0.0797
10,50,1,0.91216,2.32,0,25,0.000916
15,1,-1,-0.90671,-2.27,0,1269,0.00405
15,1,-0.75,-0.8568,-2.2,0,1262,0.00909
15,1,-0.5,-0.67131,-1.72,0.0271,1051,0.306
15,1,-0.25,-0.58473,-1.48,0.0935,1138,0.549
15,1,0,0.27252,0.694,0.826,42,0.946
15,1,0.25,0.31155,0.791,0.698,434,1
15,1,0.5,0.71154,1.81,0.015,369,0.67
15,1,0.75,0.77722,1.94,0.00549,187,0.209
15,1,1,0.86599,2.16,0,174,0.0123
15,2,-1,-0.87556,-2.24,0,1318,0.00385
15,2,-0.75,-0.83682,-2.17,0,1164,0.00876
15,2,-0.5,-0.57604,-1.48,0.101,1226,0.752
15,2,-0.25,-0.52711,-1.36,0.15,1091,0.67
15,2,0,-0.16398,-0.417,0.994,875,0.996
15,2,0.25,-0.25924,-0.673,0.85,1053,0.916
15,2,0.5,0.63646,1.65,0.0553,158,0.706
15,2,0.75,0.76485,1.94,0.00977,139,0.271
15,2,1,0.79716,2.02,0.00188,286,0.122
15,3,-1,-0.90754,-2.29,0,1301,0.00225
15,3,-0.75,-0.79144,-2.08,0,1105,0.0706
15,3,-0.5,-0.65707,-1.66,0.0434,1066,0.62
15,3,-0.25,-0.46806,-1.2,0.237,1024,0.871
15,3,0,0.45136,1.16,0.296,56,0.82
15,3,0.25,-0.31578,-0.824,0.666,1180,0.961
15,3,0.5,0.52338,1.36,0.15,416,0.7
15,3,0.75,0.79209,2.03,0,230,0.0658
15,3,1,0.82275,2.09,0,207,0.0269
15,4,-1,-0.84197,-2.17,0,1213,0.0106
15,4,-0.75,-0.78806,-2.02,0,1148,0.0989
15,4,-0.5,-0.69361,-1.75,0.011,1137,0.515
15,4,-0.25,-0.41164,-1.06,0.368,940,0.827
15,4,0,-0.21592,-0.57,0.933,915,0.943
15,4,0.25,0.53758,1.43,0.108,232,1
15,4,0.5,0.79087,2.05,0.00207,185,0.115
15,4,0.75,0.87334,2.27,0,56,0.00223
15,4,1,0.85072,2.12,0,92,0.0503
15,5,-1,-0.8703,-2.19,0.00182,1194,0.0168
15,5,-0.75,-0.84128,-2.19,0.00193,1141,0.0207
15,5,-0.5,-0.77709,-2,0.00381,1156,0.144
15,5,-0.25,-0.56318,-1.43,0.125,1154,1
15,5,0,-0.4089,-1.07,0.346,1239,0.969
15,5,0.25,0.65132,1.68,0.0417,72,0.395
15,5,0.5,0.68436,1.75,0.0264,156,0.258
15,5,0.75,0.73468,1.91,0.012,201,0.167
15,5,1,0.84994,2.16,0,105,0.0162
15,6,-1,-0.83513,-2.16,0,1173,0.0269
15,6,-0.75,-0.74886,-1.97,0.00421,1076,0.167
15,6,-0.5,-0.68608,-1.72,0.0292,1138,0.639
15,6,-0.25,-0.64191,-1.64,0.0462,1039,0.963
15,6,0,0.45517,1.18,0.293,295,0.629
15,6,0.25,0.46837,1.18,0.261,437,0.57
15,6,0.5,0.64463,1.68,0.0389,218,0.321
15,6,0.75,0.84754,2.15,0,199,0.0301
15,6,1,0.89584,2.28,0.00364,64,0.00421
15,7,-1,-0.92595,-2.39,0,1251,0
15,7,-0.75,-0.75933,-1.91,0.00193,1115,0.154
15,7,-0.5,-0.74292,-1.89,0.0073,1021,0.178
15,7,-0.25,-0.4464,-1.17,0.259,1045,1
15,7,0,-0.5675,-1.43,0.128,1169,0.887
15,7,0.25,0.34485,0.9,0.56,408,1
15,7,0.5,0.69312,1.82,0.0262,287,0.712
15,7,0.75,0.79476,2.06,0.00196,172,0.101
15,7,1,0.86878,2.24,0,97,0.0129
15,8,-1,-0.74577,-1.88,0.00984,1143,0.18
15,8,-0.75,-0.75081,-1.94,0.00391,1122,0.118
15,8,-0.5,-0.664,-1.73,0.0219,1119,0.35
15,8,-0.25,-0.55497,-1.41,0.121,1140,0.712
15,8,0,0.29451,0.761,0.762,254,0.909
15,8,0.25,0.59069,1.54,0.0683,178,0.936
15,8,0.5,0.59754,1.52,0.0843,282,0.805
15,8,0.75,0.71805,1.81,0.0126,95,0.804
15,8,1,0.8265,2.13,0,205,0.0245
15,9,-1,-0.90426,-2.26,0,1281,0.000979
15,9,-0.75,-0.7744,-2.02,0.00391,1105,0.114
15,9,-0.5,-0.55395,-1.42,0.133,1123,1
15,9,-0.25,-0.57886,-1.47,0.088,1220,0.864
15,9,0,0.35167,0.894,0.575,73,1
15,9,0.25,0.55364,1.45,0.109,233,0.518
15,9,0.5,0.76464,1.99,0.00402,124,0.136
15,9,0.75,0.84104,2.14,0,177,0.0251
15,9,1,0.87548,2.2,0,87,0.00584
15,10,-1,-0.86295,-2.16,0,1165,0.0287
15,10,-0.75,-0.81399,-2.06,0.00181,1171,0.0594
15,10,-0.5,-0.56949,-1.44,0.116,1148,0.792
15,10,-0.25,-0.61461,-1.56,0.0512,949,0.581
15,10,0,0.41734,1.07,0.358,445,1
15,10,0.25,0.28361,0.722,0.793,492,0.996
15,10,0.5,0.6127,1.53,0.0924,403,0.497
15,10,0.75,0.83413,2.11,0,67,0.0348
15,10,1,0.78079,2.03,0,190,0.134
15,11,-1,-0.90462,-2.27,0,1217,0.00246
15,11,-0.75,-0.77096,-1.91,0.00802,1030,0.222
15,11,-0.5,-0.81961,-2.06,0.00196,1212,0.0433
15,11,-0.25,-0.59753,-1.46,0.0837,1051,0.765
15,11,0,-0.47184,-1.19,0.25,910,0.991
15,11,0.25,0.5277,1.29,0.206,372,0.621
15,11,0.5,0.61829,1.52,0.0838,139,0.676
15,11,0.75,0.80827,2.05,0.00388,104,0.0643
15,11,1,0.93243,2.27,0,51,0
15,12,-1,-0.84901,-2.21,0,1196,0.0202
15,12,-0.75,-0.8042,-2.16,0,1269,0.0332
15,12,-0.5,-0.71264,-1.9,0.0157,1065,0.455
15,12,-0.25,-0.56306,-1.46,0.101,1142,0.854
15,12,0,0.29399,0.759,0.727,259,0.99
15,12,0.25,0.34572,0.896,0.575,306,0.915
15,12,0.5,0.63684,1.61,0.0523,309,0.397
15,12,0.75,0.71539,1.82,0.0105,202,0.303
15,12,1,0.82942,2.11,0.00178,93,0.0317
15,13,-1,-0.90795,-2.33,0,1236,0.00103
15,13,-0.75,-0.82651,-2.15,0,1205,0.0282
15,13,-0.5,-0.72649,-1.89,0.0117,1091,0.436
15,13,-0.25,-0.49712,-1.3,0.165,1008,1
15,13,0,0.21991,0.562,0.959,234,0.993
15,13,0.25,-0.21431,-0.56,0.936,1139,0.97
15,13,0.5,0.71413,1.81,0.00933,327,0.648
15,13,0.75,0.79088,2,0.00371,144,0.058
15,13,1,0.80203,2.05,0.00371,207,0.0747
15,14,-1,-0.87963,-2.26,0,1198,0.00785
15,14,-0.75,-0.83498,-2.14,0,1224,0.0327
15,14,-0.5,-0.61966,-1.58,0.0624,916,0.688
15,14,-0.25,-0.56732,-1.42,0.137,1080,0.73
15,14,0,-0.32344,-0.838,0.647,1057,1
15,14,0.25,0.54441,1.39,0.132,296,1
15,14,0.5,0.64695,1.64,0.0432,220,0.977
15,14,0.75,0.80698,2.03,0.00183,186,0.0767
15,14,1,0.83319,2.09,0.00177,127,0.0335
15,15,-1,-0.85087,-2.16,0.00193,1197,0.0249
15,15,-0.75,-0.77339,-2,0.0039,1130,0.15
15,15,-0.5,-0.7119,-1.84,0.0133,1092,0.568
15,15,-0.25,-0.60871,-1.55,0.0739,1169,0.492
15,15,0,0.41542,1.08,0.337,261,1
15,15,0.25,0.46878,1.19,0.259,255,1
15,15,0.5,0.7676,1.92,0,71,0.156
15,15,0.75,0.78503,2.01,0,172,0.137
15,15,1,0.8771,2.22,0,84,0.00906
15,16,-1,-0.89256,-2.21,0,1277,0.00867
15,16,-0.75,-0.76883,-1.95,0.00199,1069,0.204
15,16,-0.5,-0.75452,-1.91,0.00395,1119,0.294
15,16,-0.25,-0.59106,-1.51,0.0641,1277,1
15,16,0,0.41593,1.05,0.39,286,1
15,16,0.25,0.56669,1.46,0.0994,282,0.514
15,16,0.5,0.73581,1.91,0.00601,257,0.285
15,16,0.75,0.705,1.79,0.0215,348,0.384
15,16,1,0.7757,1.95,0,260,0.182
15,17,-1,-0.88772,-2.22,0,1186,0.00886
15,17,-0.75,-0.81255,-2.09,0,1140,0.0463
15,17,-0.5,-0.73501,-1.88,0.0111,1111,0.418
15,17,-0.25,-0.3871,-0.997,0.448,945,0.939
15,17,0,-0.53965,-1.42,0.135,971,1
15,17,0.25,0.54363,1.37,0.154,202,0.759
15,17,0.5,0.66728,1.64,0.033,270,0.447
15,17,0.75,0.72281,1.8,0.0146,308,0.151
15,17,1,0.81533,2.05,0,171,0.0452
15,18,-1,-0.88716,-2.28,0,1212,0.00315
15,18,-0.75,-0.82187,-2.14,0,1122,0.0197
15,18,-0.5,-0.64232,-1.63,0.0521,1230,0.713
15,18,-0.25,-0.44728,-1.17,0.281,1112,0.742
15,18,0,-0.24581,-0.638,0.903,1187,0.971
15,18,0.25,0.40812,1.05,0.4,262,0.85
15,18,0.5,0.70117,1.79,0.0307,348,0.279
15,18,0.75,0.75194,1.93,0.00183,144,0.129
15,18,1,0.86266,2.19,0.00184,121,0.00984
15,19,-1,-0.8115,-2.03,0.00366,1128,0.128
15,19,-0.75,-0.82358,-2.04,0.00187,1233,0.0906
15,19,-0.5,-0.66351,-1.76,0.0247,1143,1
15,19,-0.25,-0.64636,-1.66,0.0466,1086,0.995
15,19,0,0.44964,1.12,0.301,474,0.869
15,19,0.25,0.46347,1.19,0.264,158,0.83
15,19,0.5,0.72529,1.84,0.00947,147,0.216
15,19,0.75,0.70935,1.81,0.0173,61,0.295
15,19,1,0.78668,2.02,0.00388,300,0.0891
15,20,-1,-0.86718,-2.21,0,1234,0.00654
15,20,-0.75,-0.8415,-2.09,0,1164,0.0351
15,20,-0.5,-0.40041,-1.01,0.418,1124,0.902
15,20,-0.25,-0.5537,-1.42,0.131,1017,0.608
15,20,0,0.41875,1.07,0.368,120,1
15,20,0.25,0.29684,0.758,0.743,193,0.921
15,20,0.5,0.81679,2.06,0,168,0.0614
15,20,0.75,0.82825,2.11,0,81,0.0432
15,20,1,0.88976,2.22,0,132,0.0072
15,21,-1,-0.89918,-2.22,0,1209,0.00202
15,21,-0.75,-0.79414,-1.96,0.00537,1167,0.187
15,21,-0.5,-0.6701,-1.65,0.0394,934,0.609
15,21,-0.25,-0.50284,-1.29,0.165,877,0.96
15,21,0,0.32548,0.824,0.675,213,0.88
15,21,0.25,0.56358,1.44,0.124,376,0.683
15,21,0.5,0.62416,1.59,0.0549,183,0.499
15,21,0.75,0.76402,1.94,0.013,203,0.233
15,21,1,0.7457,1.93,0.00583,48,0.236
15,22,-1,-0.8657,-2.18,0,1225,0.00938
15,22,-0.75,-0.726,-1.82,0.0134,1077,0.299
15,22,-0.5,-0.69186,-1.7,0.0314,1109,0.284
15,22,-0.25,-0.41049,-1.04,0.398,1131,0.791
15,22,0,-0.2619,-0.661,0.879,921,0.977
15,22,0.25,0.65032,1.66,0.0384,274,1
15,22,0.5,0.61444,1.58,0.0904,286,1
15,22,0.75,0.79804,2.02,0,140,0.0743
15,22,1,0.86003,2.16,0,202,0.00794
15,23,-1,-0.85297,-2.15,0,1283,0.0226
15,23,-0.75,-0.73376,-1.9,0.00195,1047,0.316
15,23,-0.5,-0.5669,-1.43,0.125,1115,1
15,23,-0.25,-0.52137,-1.35,0.146,1030,1
15,23,0,0.24647,0.627,0.91,299,0.987
15,23,0.25,0.43054,1.14,0.27,324,1
15,23,0.5,0.79433,2,0.00792,236,0.139
15,23,0.75,0.831,2.15,0.00196,175,0.0284
15,23,1,0.92509,2.34,0,65,0.00198
15,24,-1,-0.85752,-2.18,0,1291,0.0103
15,24,-0.75,-0.82545,-2.09,0,1225,0.0304
15,24,-0.5,-0.80997,-2.05,0.00368,1277,0.0611
15,24,-0.25,-0.55001,-1.4,0.144,1230,0.634
15,24,0,-0.31444,-0.804,0.702,1093,0.815
15,24,0.25,0.67334,1.7,0.0237,152,0.349
15,24,0.5,0.66241,1.7,0.0295,79,0.318
15,24,0.75,0.72066,1.87,0.011,99,0.294
15,24,1,0.93663,2.36,0,43,0.0012
15,25,-1,-0.84006,-2.16,0,1168,0.0147
15,25,-0.75,-0.79647,-2,0.0042,1122,0.122
15,25,-0.5,-0.72735,-1.84,0.0147,1154,0.551
15,25,-0.25,-0.43541,-1.12,0.319,1299,0.87
15,25,0,-0.34496,-0.885,0.608,910,0.919
15,25,0.25,0.52325,1.35,0.145,252,1
15,25,0.5,0.64107,1.65,0.0416,140,0.968
15,25,0.75,0.77111,1.92,0,211,0.275
15,25,1,0.84805,2.11,0,218,0.0475
15,26,-1,-0.90054,-2.24,0,1255,0.00317
15,26,-0.75,-0.82727,-2.03,0,1230,0.0986
15,26,-0.5,-0.65213,-1.68,0.0198,1043,0.805
15,26,-0.25,-0.57784,-1.5,0.0795,840,0.986
15,26,0,0.27252,0.705,0.802,236,0.973
15,26,0.25,0.6429,1.68,0.0532,373,1
15,26,0.5,0.67842,1.74,0.0246,381,1
15,26,0.75,0.79095,2.01,0.00391,71,0.145
15,26,1,0.7927,1.99,0.00202,144,0.154
15,27,-1,-0.81433,-2.06,0.00196,1210,0.0656
15,27,-0.75,-0.76383,-1.93,0.00376,1054,0.244
15,27,-0.5,-0.54069,-1.35,0.155,924,0.833
15,27,-0.25,-0.57722,-1.44,0.126,1242,0.936
15,27,0,0.3808,0.96,0.525,197,0.836
15,27,0.25,0.52666,1.33,0.16,271,0.752
15,27,0.5,0.75488,1.9,0.00388,331,0.185
15,27,0.75,0.75884,1.87,0.0151,150,0.209
15,27,1,0.84281,2.08,0,225,0.0282
15,28,-1,-0.81301,-2.1,0.00179,1226,0.0385
15,28,-0.75,-0.79023,-2.01,0,1164,0.0516
15,28,-0.5,-0.77762,-1.97,0.00375,1082,0.0879
15,28,-0.25,-0.35532,-0.895,0.571,1036,0.943
15,28,0,0.3474,0.878,0.615,317,1
15,28,0.25,0.62324,1.63,0.0392,292,0.709
15,28,0.5,0.73774,1.85,0.0236,215,0.252
15,28,0.75,0.79893,2.06,0.00419,190,0.0742
15,28,1,0.86338,2.14,0,156,0.0245
15,29,-1,-0.88805,-2.26,0,1254,0.00213
15,29,-0.75,-0.85037,-2.14,0,1257,0.0145
15,29,-0.5,-0.76305,-1.93,0.00364,1083,0.133
15,29,-0.25,-0.64364,-1.63,0.06,1092,0.56
15,29,0,0.42989,1.1,0.344,117,0.704
15,29,0.25,0.25874,0.657,0.847,206,0.991
15,29,0.5,0.77628,1.99,0.0078,222,0.173
15,29,0.75,0.89347,2.28,0,125,0.00291
15,29,1,0.88263,2.22,0,114,0.00679
15,30,-1,-0.91625,-2.31,0,1271,0.00177
15,30,-0.75,-0.78021,-1.95,0.00524,1078,0.192
15,30,-0.5,-0.74926,-1.86,0.00933,1068,0.392
15,30,-0.25,-0.31294,-0.791,0.686,1230,0.825
15,30,0,0.25167,0.639,0.869,62,1
15,30,0.25,0.54683,1.38,0.152,253,0.764
15,30,0.5,0.61868,1.63,0.0442,173,0.596
15,30,0.75,0.78575,1.98,0,87,0.239
15,30,1,0.94536,2.41,0,88,0
15,31,-1,-0.84846,-2.15,0,1232,0.0254
15,31,-0.75,-0.81761,-2.04,0,1152,0.0875
15,31,-0.5,-0.6388,-1.62,0.052,1186,0.747
15,31,-0.25,-0.65369,-1.69,0.0307,1046,0.73
15,31,0,0.22214,0.598,0.931,332,1
15,31,0.25,0.72314,1.88,0.0105,260,0.493
15,31,0.5,0.76027,1.96,0.00661,239,0.238
15,31,0.75,0.74687,1.93,0.00419,307,0.303
15,31,1,0.8956,2.3,0,137,0.00514
15,32,-1,-0.88507,-2.3,0,1222,0.00578
15,32,-0.75,-0.78932,-2.02,0.00196,1238,0.133
15,32,-0.5,-0.68957,-1.86,0.0125,1245,0.267
15,32,-0.25,-0.56383,-1.48,0.0947,990,0.549
15,32,0,-0.3903,-1,0.44,1160,1
15,32,0.25,0.17528,0.456,0.99,420,0.989
15,32,0.5,0.71054,1.84,0.0138,97,0.3
15,32,0.75,0.82088,2.11,0,131,0.0484
15,32,1,0.84886,2.25,0,113,0.00433
15,33,-1,-0.83068,-2.11,0.00193,1191,0.0389
15,33,-0.75,-0.8248,-2.12,0,1130,0.0411
15,33,-0.5,-0.69071,-1.79,0.0231,1152,0.797
15,33,-0.25,-0.35945,-0.912,0.561,1058,0.846
15,33,0,-0.27267,-0.701,0.84,1166,0.929
15,33,0.25,0.30356,0.785,0.712,65,0.921
15,33,0.5,0.5208,1.32,0.166,423,0.73
15,33,0.75,0.7183,1.86,0.00911,179,0.253
15,33,1,0.84286,2.18,0.00192,49,0.0136
15,34,-1,-0.81842,-2.04,0,1152,0.058
15,34,-0.75,-0.68053,-1.73,0.0229,1240,0.566
15,34,-0.5,-0.64131,-1.62,0.0432,1014,0.721
15,34,-0.25,-0.25107,-0.644,0.904,1248,0.945
15,34,0,-0.29948,-0.746,0.749,1187,0.932
15,34,0.25,0.53169,1.34,0.183,355,0.778
15,34,0.5,0.67974,1.71,0.0252,102,0.684
15,34,0.75,0.80788,2.07,0,103,0.0532
