"","pert_iname","query","moa"
"435","voreloxin",1.0485,"Topoisomerase inhibitor"
"436","dichlorvos",1.0988,"Acetylcholinesterase inhibitor"
"437","sorafenib",1.3972,"FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor"
"438","VU-0238429",1.4385,"Acetylcholine receptor allosteric modulator"
"439","deoxycorticosterone-acetate",0.7461,"Progestogen hormone"
"440","ETP-46464",-0.7636,"ATR kinase inhibitor"
"441","AT-9283",-1.0901,"Aurora kinase inhibitor|JAK inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|Mitotic inhibitor|Protein kinase inhibitor"
"442","AZD-3463",1.1186,"ALK tyrosine kinase receptor inhibitor|Insulin growth factor receptor inhibitor"
"443","phlorizin",0.9539,"Sodium/glucose cotransporter inhibitor"
"444","5-hydroxymethyl-tolterodine",1.0148,"Acetylcholine receptor antagonist"
"445","NVP-AEW541",-0.91,"IGF-1 inhibitor"
"446","ethacridine-lactate-monohydrate",-0.9316,"DNA intercalating agent"
"447","fluorouracil",0.6904,"RNA synthesis inhibitor|Thymidylate synthase inhibitor"
"448","CNX-2006",1.9208,"EGFR inhibitor"
"449","pirenperone",0.8742,"Serotonin receptor antagonist"
"450","apatinib",1.4297,"RET tyrosine kinase inhibitor"
"451","MK-8745",0.6962,"Aurora kinase inhibitor"
"452","OSI-930",-1.2726,"KIT inhibitor|VEGFR inhibitor"
"453","GSK-2110183",0.5047,"AKT inhibitor"
"454","maprotiline",0.9382,"Norepinephrine reputake inhibitor|Tricyclic antidepressant"
"455","LY-2784544",0.7847,"JAK inhibitor"
"456","4-iodo-6-phenylpyrimidine",1.1295,"Macrophage inhibitor"
"457","josamycin",0.8975,"Bacterial 50S ribosomal subunit inhibitor"
"458","licochalcone-a",1.3756,"Topoisomerase inhibitor"
"459","NMS-873",0.8806,"ATPase inhibitor"
"460","K-Ras(G12C)-inhibitor-6",1.275,"K-ras inhibitor"
"461","PD-153035",1.5149,"EGFR inhibitor"
"462","thiocolchicoside",-0.7684,"GABA receptor antagonist"
"463","imiquimod",0.9755,"Interferon inducer|TLR agonist"
"464","TAK-733",-1.4359,"MEK inhibitor"
"465","VX-765",1.6524,"Caspase inhibitor"
"466","VE-821",0.9059,"ATR kinase inhibitor"
"467","BIX-01294",-0.704,"DNA methyltransferase inhibitor|Histone lysine methyltransferase inhibitor"
"468","GW-842166",0.7475,"Cannabinoid receptor agonist"
"469","azomycin-(2-nitroimidazole)",1.254,"Protein synthesis inhibitor"
"470","costunolide",0.5746,"Telomerase inhibitor"
"471","AST-1306",1.5657,"EGFR inhibitor"
"472","D-64131",0.6887,"Microtubule inhibitor"
"473","metatinib",1.1004,"Bcr-Abl kinase inhibitor"
"474","levocetirizine",1.3672,"Histamine receptor antagonist"
"475","butamben",1.0736,"Sodium channel blocker"
"476","calcitriol",0.6836,"Vitamin D receptor agonist"
"477","nomegestrol-acetate",1.22,"Progesterone receptor agonist"
"478","cyclovirobuxin-d",-0.8068,"Calcium channel modulator"
"479","cyproheptadine",-0.97,"Histamine receptor antagonist"
"480","spiradoline",0.8388,"Opioid receptor agonist"
"481","flutamide",0.8005,"Androgen receptor antagonist"
"482","CH-5132799",0.684,"PI3K inhibitor"
"483","TW-37",-0.5998,"BCL inhibitor"
"484","nitrocaramiphen",0.6369,"Cholinergic receptor antagonist"
"485","benzydamine",1.4763,"Prostanoid receptor antagonist"
"486","A-803467",1.0805,"Sodium channel blocker"
"487","cilostamide",0.7461,"Phosphodiesterase inhibitor"
"488","resminostat",0.7686,"HDAC inhibitor"
"489","genipin",-0.9652,"Choleretic agent"
"490","CD-437",1.1785,"Retinoid receptor agonist"
"491","BVD-523",-1.0661,"MAP kinase inhibitor"
"492","isoflupredone-acetate",0.7645,"Glucocorticoid receptor agonist"
"493","BGT-226",-0.6195,"PI3K inhibitor"
"494","chlorambucil",-0.6579,"DNA inhibitor"
"495","1-naphthyl-PP1",1.3504,"Src inhibitor"
"496","ziprasidone",1.0249,"Dopamine receptor antagonist|Serotonin receptor antagonist"
"497","MK-8245",0.7349,"Stearoyl-CoA desaturase inhibitor"
"498","hypericin",-0.9412,"Tyrosine kinase inhibitor"
"499","axitinib",-0.8788,"PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"500","clomifene",0.6794,"Estrogen receptor antagonist"
"501","KX2-391",0.5906,"Src inhibitor|Tubulin inhibitor"
"502","torasemide",1.1588,"Electrolyte reabsorption inhibitor|Thromboxane receptor antagonist"
"503","homoquinolinic-acid",1.2028,"Glutamate receptor agonist"
"504","SB-216641",0.7638,"Serotonin receptor antagonist"
"505","UNBS-5162",-1.4839,"CC chemokine receptor antagonist"
"506","lucitanib",1.1671,"FGFR inhibitor|VEGFR inhibitor"
"507","AZD-9668",-0.898,"Elastase inhibitor"
"508","1-phenylbiguanide",1.0736,"Serotonin receptor agonist"
"509","rimexolone",1.2288,"Glucocorticoid receptor agonist"
"510","icotinib",1.8957,"EGFR inhibitor"
"511","levobunolol",1.0695,"Adrenergic receptor antagonist"
"512","TAK-632",0.7431,"RAF inhibitor"
"513","barasertib",-0.7299,"Aurora kinase inhibitor"
"514","temozolomide",-1.4407,"DNA alkylating drug"
"515","AMG-208",0.9067,"Tyrosine kinase inhibitor"
"516","etomoxir",-0.9364,"Carnitine palmitoyltransferase inhibitor"
"517","vanoxerine",0.7165,"Dopamine uptake inhibitor"
"518","SU-3327",1.3588,"JNK inhibitor"
"519","disulfiram",1.2079,"Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist"
"520","azathioprine",-1.0565,"Dehydrogenase inhibitor"
"521","adapalene",-1.3926,"Retinoid receptor agonist"
"522","tivantinib",0.6816,"Tyrosine kinase inhibitor"
"523","obidoxime",-1.407,"Cholinesterase reactivator"
"524","rociletinib",1.9124,"EGFR inhibitor"
"525","LY-2835219",1.0525,"CDK inhibitor"
"526","difluprednate",1.3265,"Glucocorticoid receptor agonist"
"527","valnemulin",1.3504,"Bacterial 50S ribosomal subunit inhibitor"
"528","GW-3965",0.8706,"ABC transporter expression enhancer|LXR agonist"
"529","ZK-93423",0.9031,"Benzodiazepine receptor agonist"
"530","clofarabine",0.8388,"Ribonucleoside reductase inhibitor"
"531","tanshinone-i",-0.9941,"AP inhibitor"
"532","cimetidine",0.8258,"Histamine receptor antagonist"
"533","imidapril",1.1911,"Angiotensin converting enzyme inhibitor"
"534","streptozotocin",0.8346,"DNA alkylating agent"
"535","parthenolide-(-)",1.2273,"NFkB pathway inhibitor|Adiponectin receptor agonist"
"536","levonorgestrel",-0.7411,"Estrogen receptor agonist|Glucocorticoid receptor antagonist|Progesterone receptor agonist|Progesterone receptor antagonist"
"537","ciclesonide",1.2687,"Glucocorticoid receptor agonist"
"538","GZD-824",0.6734,"Bcr-Abl kinase inhibitor"
"539","dacarbazine",0.9753,"DNA alkylating agent"
"540","niclosamide",0.8209,"DNA replication inhibitor|STAT inhibitor"
"541","ABT-702",-1.3014,"Adenosine kinase inhibitor"
"542","cycloheximide",1.3085,"Protein synthesis inhibitor"
"543","WAY-170523",-0.6435,"Metalloproteinase inhibitor"
"544","carmustine",0.8797,"DNA alkylating drug|DNA inhibitor"
"545","asymmetrical-dimethylarginine",1.0791,"Dimethylarginine dimethylaminohydrolase inhibitor|Nitric oxide synthase inhibitor"
"546","dolutegravir",0.5696,"HIV integrase inhibitor"
"547","bindarit",1.0946,"NFkB pathway inhibitor"
"548","PU-H71",1.0695,"HSP inhibitor"
"549","tamibarotene",0.5724,"Retinoid receptor agonist"
"550","stemregenin-1",1.0354,"Aryl hydrocarbon receptor antagonist"
"551","GSK-1070916",1.1743,"Aurora kinase inhibitor"
"552","ribociclib",1.1995,"CDK inhibitor"
"553","CEP-33779",0.6813,"JAK inhibitor"
"554","astemizole",0.8598,"Histamine receptor antagonist"
"555","mifepristone",1.3379,"Glucocorticoid receptor antagonist|Progesterone receptor antagonist"
"556","kenpaullone",1.4711,"CDK inhibitor|Glycogen synthase kinase inhibitor"
"557","filanesib",0.8188,"Kinesin inhibitor"
"558","zardaverine",0.4796,"Phosphodiesterase inhibitor"
"559","GSK-256066",1.0233,"Phosphodiesterase inhibitor"
"560","MRS-1220",1.177,"Adenosine receptor antagonist"
"561","AZD-8330",-0.9412,"MEK inhibitor"
"562","SB-525334",-1.4455,"TGF beta receptor inhibitor"
"563","dioscin",0.7717,"Apoptosis stimulant"
"564","PF-03758309",1.0822,"P21 activated kinase inhibitor"
"565","afobazole",0.8031,"Anxiolytic"
"566","LY-2183240",0.7423,"FAAH reuptake inhibitor|FAAH inhibitor"
"567","camptothecin",0.7968,"Topoisomerase inhibitor"
"568","clonazepam",0.9987,"GABA benzodiazepine site receptor agonist"
"569","narlaprevir",1.2463,"HCV inhibitor"
"570","domperidone",-0.8068,"Dopamine receptor antagonist"
"571","uprosertib",0.5913,"AKT inhibitor"
"572","FK-3311",-0.8788,"Cyclooxygenase inhibitor"
"573","diazooxonorleucine",-1.2198,"Glutamate receptor antagonist"
"574","VER-49009",1.644,"HSP inhibitor"
"575","ganetespib",0.9545,"HSP inhibitor"
"576","JK-184",0.6836,"Hedgehog pathway inhibitor"
"577","MK-0773",0.8455,"Androgen receptor modulator"
"578","SAR-131675",-0.9989,"VEGFR inhibitor"
"579","STF-118804",1.2079,"NAMPT inhibitor"
"580","atipamezole",1.0752,"Adrenergic receptor antagonist"
"581","DMH1",-0.778,"ALK tyrosine kinase receptor inhibitor"
"582","nithiamide",1.1791,"Bacterial DNA inhibitor"
"583","SDZ-WAG-994",0.9033,"Adenosine receptor agonist"
"584","TG-101209",0.5494,"JAK inhibitor"
"585","lenvatinib",1.4343,"FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"586","bisacodyl",1.0569,"Laxative"
"587","SB-505124",0.9814,"ALK tyrosine kinase receptor inhibitor"
"588","torin-1",0.5493,"MTOR inhibitor|PI3K inhibitor"
"589","tyrphostin-A9",0.8557,"Protein tyrosine kinase inhibitor|Tyrosine kinase inhibitor"
"590","crizotinib-(S)",0.822,"MTH1 inhibitor"
"591","CR8-(R)",1.1575,"CDK inhibitor"
"592","spermidine",0.9346,"Glutamate receptor modulator"
"593","eltrombopag",1.0862,"Thrombopoietin receptor agonist"
"594","SC-12267",1.1198,"Dihydroorotate dehydrogenase inhibitor"
"595","parachlorophenol",0.7341,"Antiinfective drug"
"596","GSK-2656157",0.7116,"PERK inhibitor"
"597","KW-2478",1.1114,"HSP inhibitor"
"598","CUDC-101",1.5406,"EGFR inhibitor"
"599","GW-441756",-1.3014,"Growth factor receptor inhibitor"
"600","ZM-306416",1.9376,"Abl kinase inhibitor|Src inhibitor|VEGFR inhibitor"
"601","lonafarnib",0.9856,"Farnesyltransferase inhibitor"
"602","STA-5326",0.9646,"Interleukin synthesis inhibitor"
"603","NVP-AUY922",1.2959,"HSP inhibitor"
"604","tioxolone",1.4217,"Carbonic anhydrase inhibitor"
"605","buparlisib",0.6794,"PI3K inhibitor"
"606","AZ-20",1.2833,"ATR kinase inhibitor"
"607","tasisulam",-1.7144,"Apoptosis stimulant"
"608","satraplatin",1.082,"DNA alkylating drug"
"609","epiandrosterone",1.1282,"Steroid"
"610","sunitinib",-0.5763,"FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor"
"611","temsirolimus",0.8472,"MTOR inhibitor"
"612","acetophenazine",0.864,"Dopamine receptor antagonist"
"613","CHIR-98014",1.3337,"GSK inhibitor"
"614","mibampator",1.0946,"Glutamate receptor modulator"
"615","SR-33805",1.1701,"Calcium channel blocker"
"616","GDC-0349",0.58,"Pim kinase inhibitor"
"617","polydatin",1.0485,"ICAM1 expression inhibitor"
"618","BMS-387032",0.6081,"CDK inhibitor|Cell cycle inhibitor|MCL1 inhibitor"
"619","oncrasin-1",1.2996,"Apoptosis stimulant"
"620","OTX-015",1.1408,"Bromodomain inhibitor"
"621","defactinib",-1.1477,"Focal adhesion kinase inhibitor"
"622","CP-673451",1.3979,"PDGFR tyrosine kinase receptor inhibitor"
"623","WP-1130",0.7626,"Deubiquitinase inhibitor"
"624","iobenguane",-1.2246,"Antineoplastic agent"
"625","flufenamic-acid",1.0359,"Chloride channel blocker"
"626","Y-27632",0.5662,"Rho associated kinase inhibitor"
"627","ponatinib",0.7088,"Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor"
"628","2-methoxyestradiol",0.9856,"Hypoxia inducible factor inhibitor"
"629","bromosporine",0.8514,"Bromodomain inhibitor"
"630","vismodegib",0.8195,"Hedgehog pathway inhibitor|Smoothened receptor antagonist"
"631","taselisib",0.7423,"PI3K inhibitor"
"632","atenolol",1.0236,"Adrenergic receptor antagonist"
"633","famciclovir",-0.9172,"DNA polymerase inhibitor"
"634","clofibrate",1.0778,"PPAR receptor agonist"
"635","7-hydroxystaurosporine",1.1151,"CDK inhibitor|CHK inhibitor|PKC inhibitor"
"636","betulinic-acid",-0.8548,"Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV integrase inhibitor|NFkB pathway activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor"
"637","JZL-184",0.8473,"Monoacylglucerol lipase inhibitor"
"638","VU-0361737",-0.5619,"Glutamate receptor positive allosteric modulator"
"639","M-344",0.8575,"HDAC inhibitor"
"640","MPI-0479605",0.8388,"Mitotic kinase inhibitor"
"641","3'-fluorobenzylspiperone",0.6668,"Dopamine receptor ligand"
"642","anguidine",0.7046,"Protein synthesis inhibitor"
"643","ARRY-334543",1.2456,"EGFR inhibitor"
"644","TG-100713",1.4828,"PI3K inhibitor"
"645","acetylsalicylsalicylic-acid",1.0359,"Cyclooxygenase inhibitor"
"646","phenazone",0.6724,"Cyclooxygenase inhibitor"
"647","cytochalasin-b",-0.6852,"Microtubule inhibitor"
"648","chlorogenic-acid",1.1659,"Antioxidant"
"649","KI-8751",0.972,"VEGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor"
"650","BMS-754807",-0.9172,"IGF-1 inhibitor"
"651","4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine",0.6107,"Serotonin receptor antagonist"
"652","PP-1",1.0695,"Abl kinase inhibitor|Src inhibitor"
"653","podophyllotoxin",0.8933,"Microtubule inhibitor|Tubulin inhibitor"
"654","bephenium",-1.0709,"Acetylcholine receptor agonist"
"655","balapiravir",0.8388,"RNA polymerase inhibitor"
"656","cebranopadol",1.2498,"Opioid receptor agonist"
"657","tecastemizole",0.7217,"Histamine receptor antagonist"
"658","CNX-774",0.9886,"Bruton's tyrosine kinase (BTK) inhibitor"
"659","YM-201636",-1.0709,"PI3K inhibitor"
"660","methyldopa",-1.0469,"Adrenergic receptor agonist"
"661","BAY-11-7085",0.8304,"NFkB pathway inhibitor"
"662","PSB-1115",1.3079,"Adenosine receptor antagonist"
"663","hyodeoxycholic-acid",-1.1333,"Atherosclerosis formation inhibitor"
"664","securinine",1.233,"GABA receptor antagonist|TP53 activator"
"665","nintedanib",1.2079,"FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor"
"666","prazosin",-1.1573,"Adrenergic receptor antagonist"
"667","vincristine",0.8388,"Tubulin inhibitor"
"668","BIBU-1361",1.7322,"EGFR inhibitor"
"669","dasatinib",1.0571,"Bcr-Abl kinase inhibitor|Ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor|Tyrosine kinase inhibitor"
"670","thioguanine",0.7736,"Purine antagonist"
"671","PIK-75",1.0997,"DNA protein kinase inhibitor|PI3K inhibitor"
"672","pilaralisib",0.7542,"PI3K inhibitor"
"673","BX-912",-0.85,"Pyruvate dehydrogenase kinase inhibitor"
"674","PD-0325901",-0.9124,"MAP kinase inhibitor|Protein kinase inhibitor|MEK inhibitor"
"675","mesna",0.8066,"Antioxidant"
"676","PHA-767491",-0.8276,"CDC inhibitor"
"677","NVP-TAE684",1.1449,"ALK tyrosine kinase receptor inhibitor"
"678","canertinib",1.6524,"EGFR inhibitor"
"679","fenofibrate",1.3193,"PPAR receptor agonist"
"680","capsaicin",1.5124,"TRPV agonist"
"681","oxiracetam",0.9298,"Acetylcholine receptor agonist"
"682","cobicistat",1.2106,"Cytochrome P450 inhibitor"
"683","lurasidone",1.2166,"Dopamine receptor antagonist|Serotonin receptor antagonist"
"684","palbociclib",-1.5031,"CDK inhibitor"
"685","fenbendazole",0.4488,"Tubulin inhibitor"
"686","meglitinide",1.0653,"Potassium channel blocker"
"687","toremifene",0.8262,"Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)"
"688","taurine",1.1827,"Antioxidant"
"689","cabozantinib",-0.6771,"RET tyrosine kinase inhibitor|VEGFR inhibitor"
"690","TPCA-1",1.0191,"IKK inhibitor"
"691","ilomastat",-1.0757,"Matrix metalloprotease inhibitor"
"692","hydroxyurea",1.2293,"Ribonucleoside reductase inhibitor"
"693","nemorubicin",1.0359,"Topoisomerase inhibitor"
"694","BIIB-021",0.9908,"HSP inhibitor"
"695","oxibendazole",1.2917,"Tubulin inhibitor"
"696","R-547",0.6249,"CDK inhibitor"
"697","chlorhexidine",0.6116,"Membrane integrity inhibitor"
"698","tacedinaline",1.2833,"HDAC inhibitor"
"699","oligomycin-a",1.05,"ATP synthase inhibitor|ATPase inhibitor"
"700","clindamycin-phosphate",-1.2966,"Bacterial 50S ribosomal subunit inhibitor|Protein synthesis inhibitor"
"701","TAK-715",1.3588,"P38 MAPK inhibitor"
"702","dirithromycin",-1.4167,"Bacterial 50S ribosomal subunit inhibitor"
"703","epothilone-d",0.8598,"Microtubule stabilizing agent|Microtubule stimulant|Tubulin polymerisation inhibitor|Tubulin inhibitor"
"704","GDC-0941",-0.9316,"PI3K inhibitor"
"705","pterostilbene",-0.6667,"Cyclooxygenase inhibitor|PPAR receptor agonist"
"706","tivozanib",1.2596,"VEGFR inhibitor"
"707","OTS-167",-0.922,"Maternal embryonic leucine zipper kinase inhibitor"
"708","arctigenin",0.6473,"MEK inhibitor"
"709","aurora-a-inhibitor-i",0.9989,"Aurora kinase inhibitor"
"710","baricitinib",0.5981,"JAK inhibitor"
"711","MK-5108",1.0192,"Aurora kinase inhibitor"
"712","cinalukast",0.6226,"Leukotriene receptor antagonist"
"713","PRT-062607",0.6375,"Syk inhibitor"
"714","ruxolitinib",0.8514,"JAK inhibitor"
"715","remoxipride",-1.8825,"Dopamine receptor antagonist"
"716","CMPD-1",0.8807,"P38 MAPK inhibitor"
"717","halofuginone",1.2276,"Collagenase inhibitor"
"718","MK-1775",0.8099,"WEE1 kinase inhibitor"
"719","monobenzone",0.6157,"Melanin inhibitor"
"720","zolmitriptan",-1.4022,"Serotonin receptor agonist"
"721","PR-619",0.8172,"DUB inhibitor"
"722","JQ1-(+)",-0.9076,"Bromodomain inhibitor"
"723","fudosteine",1.0034,"Mucolytic agent"
"724","equol",-0.9508,"Estrogen receptor agonist"
"725","alpelisib",-0.9845,"PI3K inhibitor"
"726","azacitidine",1.2833,"DNA methyltransferase inhibitor"
"727","rigosertib",0.8648,"Cell cycle inhibitor|PLK inhibitor"
"728","SC-144",1.3514,"P-glycoprotein inhibitor"
"729","AM-404",1.3714,"Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist"
"730","latrepirdine",1.405,"Glutamate receptor antagonist"
"731","AP-26113",1.2522,"ALK tyrosine kinase receptor inhibitor"
"732","rifampin",0.8343,"RNA polymerase inhibitor"
"733","MGCD-265",1.3421,"VEGFR inhibitor"
"734","voxtalisib",-0.8474,"MTOR inhibitor|PI3K inhibitor"
"735","ABT-737",0.7334,"BCL inhibitor"
"736","amonafide",-0.8116,"Topoisomerase inhibitor"
"737","vemurafenib",1.0731,"RAF inhibitor"
"738","MK-2461",-1.2726,"FGFR inhibitor|VEGFR inhibitor"
"739","chicago-sky-blue-6b",0.761,"Glutamate transporter modulator|Macrophage migration inhibiting factor inhibitor|Glutamate inhibitor|Macrophage inhibitor"
"740","clofazimine",1.1659,"GK0582 inhibitor"
"741","Y-39983",0.6831,"Rho associated kinase inhibitor"
"742","epirubicin",0.6501,"Topoisomerase inhibitor"
"743","fluroxene",-0.6819,"Local anesthetic"
"744","dacinostat",0.9585,"HDAC inhibitor"
"745","selumetinib",-1.5271,"MEK inhibitor"
"746","CCT-129202",-0.8305,"Aurora kinase inhibitor"
"747","dacomitinib",1.6398,"EGFR inhibitor"
"748","Ro-9187",1.1743,"HCV inhibitor"
"749","hesperadin",0.7172,"Aurora kinase inhibitor"
"750","Ro-90-7501",1.0317,"Beta amyloid inhibitor"
"751","AT-13387",1.2057,"HSP antagonist"
"752","palmatine-chloride",-0.8644,"Dopamine synthesis inhibitor"
"753","FK-866",0.6626,"Niacinamide phosphoribosyltransferase inhibitor"
"754","amoxicillin",0.7256,"Penicillin binding protein inhibitor"
"755","NMS-E973",0.9009,"HSP90 Inhibitor"
"756","AZD-6482",0.7256,"PI3K inhibitor"
"757","acetylcysteine",0.595,"Mucolytic agent"
"758","AZ-3146",1.006,"Monopolar spindle 1 kinase inhibitor"
"759","naproxen",-0.9893,"Cyclooxygenase inhibitor"
"760","MLN-0128",0.7717,"MTOR inhibitor"
"761","delanzomib",0.8933,"Proteasome inhibitor"
"762","tozasertib",0.9101,"Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor"
"763","tedizolid",0.97,"Bacterial 50S ribosomal subunit inhibitor"
"764","piperine",0.9772,"Monoamine oxidase inhibitor"
"765","cyproterone-acetate",-0.7877,"Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist"
"766","ubenimex",-0.9652,"Leukotriene inhibitor"
"767","LDN-212854",1.0024,"Bone morphogenic protein inhibitor"
"768","CB-10-277-(free-acid)",1.2942,"DNA inhibitor|DNA synthesis inhibitor"
"769","sulfabenzamide",0.9982,"Bacterial antifolate"
"770","crystal-violet",1.1079,"Other antibiotic"
"771","tiagabine",-1.2678,"GABA uptake inhibitor"
"772","tyrphostin-AG-99",0.9887,"Tyrosine kinase inhibitor"
"773","MG-132",1.1491,"Proteasome inhibitor"
"774","niacin",0.8153,"NAD precursor with lipid lowering effects|Vitamin B"
"775","GSK-1292263",1.2159,"Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Agonists"
"776","chlormidazole",0.9424,"Fungal lanosterol demethylase inhibitor"
"777","ONX-0914",0.9646,"Proteasome inhibitor"
"778","paricalcitol",0.6953,"Vitamin D receptor agonist"
"779","idelalisib",0.89,"PI3K inhibitor"
"780","PHA-848125",0.5695,"CDK inhibitor|Growth factor receptor inhibitor"
"781","SB-218795",0.6718,"Tachykinin antagonist"
"782","combretastatin-A-4",1.2079,"Tubulin inhibitor|Angiogenesis inhibitor|Apoptosis stimulant|Tubulin polymerisation inhibitor"
"783","SGI-1027",-1.4407,"DNA methyltransferase inhibitor"
"784","endo-IWR-1",1.2608,"PARP inhibitor"
"785","SB-225002",0.8746,"CC chemokine receptor antagonist"
"786","romidepsin",0.8803,"HDAC inhibitor"
"787","thiomersal",-0.6339,"Other antibiotic"
"788","SB-366791",0.939,"TRPV antagonist"
"789","resatorvid",0.6177,"Toll-like receptor antagonist"
"790","FERb-033",-1.3398,"ErbB2 inhibitor"
"791","RGFP-966",-0.632,"HDAC inhibitor"
"792","fleroxacin",1.514,"Topoisomerase inhibitor"
"793","2,3-DCPE",1.1366,"Bcl-XL downregulator"
"794","AS-1949490",0.8723,"SHIP2 phosphatase inhibitor"
"795","AVN-944",0.7973,"Inosine monophosphate dehydrogenase inhibitor"
"796","anagrelide",0.7938,"Phosphodiesterase inhibitor"
"797","fluticasone-propionate",0.6626,"Glucocorticoid receptor agonist"
"798","venetoclax",0.7927,"BCL inhibitor"
"799","lerisetron",-0.9748,"Serotonin receptor antagonist"
"800","aztreonam",1.2666,"Bacterial cell wall synthesis inhibitor"
"801","idasanutlin",-1.1958,"MDM inhibitor"
"802","G-1",0.8136,"G protein-coupled receptor agonist"
"803","BMS-265246",0.7233,"CDK inhibitor"
"804","tipifarnib-P2",1.124,"Farnesyltransferase inhibitor"
"805","ZSTK-474",0.7633,"PI3K inhibitor"
"806","idarubicin",0.7584,"Topoisomerase inhibitor"
"807","epinephrine",0.8131,"Adrenergic receptor agonist|Neurotransmitter"
"808","EPZ-5676",-0.6003,"DOT1L inhibitor"
"809","semaxanib",-0.6291,"VEGFR inhibitor"
"810","temoporfin",-1.0229,"Radical formation stimulant"
"811","acipimox",0.9562,"Cholesterol inhibitor"
"812","mycophenolic-acid",0.892,"Dehydrogenase inhibitor|Inositol monophosphatase inhibitor"
"813","10-hydroxycamptothecin",-1.0037,"Topoisomerase inhibitor"
"814","raloxifene",1.5559,"Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)"
"815","barasertib-HQPA",0.9562,"Aurora kinase inhibitor"
"816","2'-MeCCPA",-1.2486,"Adenosine receptor agonist"
"817","gefitinib",1.6224,"EGFR inhibitor"
"818","dienogest",1.124,"Progesterone receptor agonist"
"819","Ro-4987655",-1.239,"MEK inhibitor"
"820","torcetrapib",-1.1861,"Cholesteryl ester transfer protein inhibitor"
"821","PHA-793887",0.8982,"CDK inhibitor"
"822","CYC-116",1.5056,"Aurora kinase inhibitor"
"823","ispinesib",0.8215,"Kinesin inhibitor"
"824","AZ-960",1.4301,"JAK inhibitor"
"825","BI-2536",0.9595,"PLK inhibitor"
"826","AMG-232",0.6752,"MDM inhibitor"
"827","nefiracetam",0.8273,"Acetylcholine receptor agonist|GABA receptor agonist"
"828","avanafil",1.2456,"Phosphodiesterase inhibitor"
"829","diphenyleneiodonium",0.9958,"Nitric oxide synthase inhibitor"
"830","halobetasol-propionate",1.1169,"Glucocorticoid receptor agonist|Immunosuppressant"
"831","serdemetan",0.4823,"MDM inhibitor"
"832","AZD-1480",0.7678,"JAK inhibitor"
"833","salidroside",0.9425,"Beta amyloid protein neurotoxicity inhibitor"
"834","CPP",-1.3398,"Glutamate receptor antagonist"
"835","TMC-353121",1.2959,"RSV fusion inhibitor"
"836","afatinib",1.5655,"EGFR inhibitor"
"837","fluvastatin",1.1494,"HMGCR inhibitor"
"838","VU-0364770",1.405,"Glutamate receptor positive allosteric modulator"
"839","fludarabine",0.7465,"DNA synthesis inhibitor"
"840","oxyquinoline",1.0988,"Chelating agent"
"841","oleoylethanolamide",-0.8657,"Cannabinoid receptor agonist|Glucose dependent insulinotropic receptor agonist|Potassium channel blocker|PPAR receptor agonist"
"842","altretamine",1.0904,"DNA synthesis inhibitor"
"843","4E1RCat",0.9415,"Protein synthesis inhibitor"
"844","adipiodone",1.5266,"Contrast agent"
"845","SB-431542",1.1366,"TGF beta receptor inhibitor"
"846","PQ-401",1.6105,"Insulin growth factor receptor inhibitor|IGF-1 inhibitor"
"847","KU-0063794",1.0736,"MTOR inhibitor"
"848","GDC-0879",0.8849,"RAF inhibitor"
"849","rheochrysidin",1.0736,"Protein tyrosine kinase inhibitor"
"850","pevonedistat",0.5788,"Nedd activating enzyme inhibitor"
"851","PI-103",0.8503,"MTOR inhibitor|PI3K inhibitor"
"852","eprosartan",1.514,"Angiotensin receptor antagonist"
"853","MK-2206",-1.0085,"AKT inhibitor"
"854","palmitoylethanolamide",1.103,"Cannabinoid receptor agonist"
"855","CGS-20625",0.7339,"Benzodiazepine receptor agonist"
"856","epothilone-b",1.0149,"Microtubule stabilizing agent|Tubulin inhibitor|Microtubule stimulant"
"857","torin-2",1.2246,"MTOR inhibitor"
