pert_iname,query,moa
AMG-208,1.4709,Tyrosine kinase inhibitor
etomoxir,0.7081,Carnitine palmitoyltransferase inhibitor
vanoxerine,0.9776,Dopamine uptake inhibitor
SU-3327,0.7362,JNK inhibitor
disulfiram,0.7224,Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
azathioprine,1.7138,Dehydrogenase inhibitor
adapalene,0.9025,Retinoid receptor agonist
tivantinib,0.9901,Tyrosine kinase inhibitor
obidoxime,0.9741,Cholinesterase reactivator
rociletinib,0.8488,EGFR inhibitor
LY-2835219,1.6019,CDK inhibitor
difluprednate,0.6411,Glucocorticoid receptor agonist
valnemulin,1.2224,Bacterial 50S ribosomal subunit inhibitor
GW-3965,0.9398,ABC transporter expression enhancer|LXR agonist
ZK-93423,1.0676,Benzodiazepine receptor agonist
clofarabine,1.0453,Ribonucleoside reductase inhibitor
tanshinone-i,0.4109,AP inhibitor
cimetidine,0.7608,Histamine receptor antagonist
imidapril,1.0254,Angiotensin converting enzyme inhibitor
streptozotocin,1.1452,DNA alkylating agent
parthenolide-(-),0.5415,NFkB pathway inhibitor|Adiponectin receptor agonist
levonorgestrel,0.3399,Estrogen receptor agonist|Glucocorticoid receptor antagonist|Progesterone receptor agonist|Progesterone receptor antagonist
ciclesonide,0.6198,Glucocorticoid receptor agonist
GZD-824,1.2453,Bcr-Abl kinase inhibitor
dacarbazine,1.0308,DNA alkylating agent
niclosamide,0.9213,DNA replication inhibitor|STAT inhibitor
ABT-702,0.719,Adenosine kinase inhibitor
cycloheximide,1.4112,Protein synthesis inhibitor
WAY-170523,1.135,Metalloproteinase inhibitor
carmustine,1.2332,DNA alkylating drug|DNA inhibitor
asymmetrical-dimethylarginine,0.494,Dimethylarginine dimethylaminohydrolase inhibitor|Nitric oxide synthase inhibitor
dolutegravir,0.9721,HIV integrase inhibitor
bindarit,0.7852,NFkB pathway inhibitor
PU-H71,1.1302,HSP inhibitor
tamibarotene,1.363,Retinoid receptor agonist
stemregenin-1,0.8305,Aryl hydrocarbon receptor antagonist
GSK-1070916,1.2542,Aurora kinase inhibitor
ribociclib,1.0464,CDK inhibitor
CEP-33779,0.8151,JAK inhibitor
astemizole,0.8236,Histamine receptor antagonist
mifepristone,0.8729,Glucocorticoid receptor antagonist|Progesterone receptor antagonist
kenpaullone,1.2157,CDK inhibitor|Glycogen synthase kinase inhibitor
filanesib,1.1004,Kinesin inhibitor
zardaverine,1.1778,Phosphodiesterase inhibitor
GSK-256066,1.4303,Phosphodiesterase inhibitor
MRS-1220,0.8042,Adenosine receptor antagonist
AZD-8330,1.0439,MEK inhibitor
SB-525334,0.7696,TGF beta receptor inhibitor
dioscin,0.9218,Apoptosis stimulant
PF-03758309,1.1216,P21 activated kinase inhibitor
afobazole,0.7546,Anxiolytic
LY-2183240,1.0301,FAAH reuptake inhibitor|FAAH inhibitor
camptothecin,0.7351,Topoisomerase inhibitor
clonazepam,1.0054,GABA benzodiazepine site receptor agonist
narlaprevir,1.3782,HCV inhibitor
domperidone,1.2474,Dopamine receptor antagonist
uprosertib,0.6098,AKT inhibitor
FK-3311,0.5297,Cyclooxygenase inhibitor
diazooxonorleucine,1.1283,Glutamate receptor antagonist
VER-49009,0.9598,HSP inhibitor
ganetespib,0.9158,HSP inhibitor
JK-184,1.0491,Hedgehog pathway inhibitor
MK-0773,0.9806,Androgen receptor modulator
SAR-131675,1.0524,VEGFR inhibitor
STF-118804,1.071,NAMPT inhibitor
atipamezole,1.1189,Adrenergic receptor antagonist
DMH1,1.1637,ALK tyrosine kinase receptor inhibitor
nithiamide,1.2508,Bacterial DNA inhibitor
SDZ-WAG-994,0.9422,Adenosine receptor agonist
TG-101209,0.8641,JAK inhibitor
lenvatinib,1.264,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
bisacodyl,1.0893,Laxative
SB-505124,0.7976,ALK tyrosine kinase receptor inhibitor
torin-1,0.7745,MTOR inhibitor|PI3K inhibitor
tyrphostin-A9,0.9292,Protein tyrosine kinase inhibitor|Tyrosine kinase inhibitor
crizotinib-(S),1.0467,MTH1 inhibitor
CR8-(R),0.7234,CDK inhibitor
spermidine,0.4408,Glutamate receptor modulator
eltrombopag,0.9688,Thrombopoietin receptor agonist
SC-12267,1.1886,Dihydroorotate dehydrogenase inhibitor
parachlorophenol,1.1538,Antiinfective drug
GSK-2656157,0.8755,PERK inhibitor
KW-2478,0.9704,HSP inhibitor
CUDC-101,0.9044,EGFR inhibitor
GW-441756,0.8529,Growth factor receptor inhibitor
ZM-306416,0.9235,Abl kinase inhibitor|Src inhibitor|VEGFR inhibitor
lonafarnib,1.4823,Farnesyltransferase inhibitor
STA-5326,0.6459,Interleukin synthesis inhibitor
NVP-AUY922,0.9308,HSP inhibitor
tioxolone,0.9161,Carbonic anhydrase inhibitor
buparlisib,1.0983,PI3K inhibitor
AZ-20,0.6683,ATR kinase inhibitor
tasisulam,0.4705,Apoptosis stimulant
satraplatin,0.8764,DNA alkylating drug
epiandrosterone,1.6171,Steroid
sunitinib,1.0994,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
temsirolimus,1.2807,MTOR inhibitor
acetophenazine,0.6487,Dopamine receptor antagonist
CHIR-98014,0.6772,GSK inhibitor
mibampator,1.2569,Glutamate receptor modulator
SR-33805,1.0212,Calcium channel blocker
GDC-0349,0.642,Pim kinase inhibitor
polydatin,1.1275,ICAM1 expression inhibitor
BMS-387032,0.644,CDK inhibitor|Cell cycle inhibitor|MCL1 inhibitor
oncrasin-1,0.9378,Apoptosis stimulant
OTX-015,1.1968,Bromodomain inhibitor
defactinib,0.9745,Focal adhesion kinase inhibitor
CP-673451,1.927,PDGFR tyrosine kinase receptor inhibitor
WP-1130,0.6644,Deubiquitinase inhibitor
iobenguane,1.0147,Antineoplastic agent
flufenamic-acid,1.1205,Chloride channel blocker
Y-27632,0.8629,Rho associated kinase inhibitor
ponatinib,0.7579,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor
2-methoxyestradiol,0.8966,Hypoxia inducible factor inhibitor
bromosporine,0.9106,Bromodomain inhibitor
vismodegib,1.3856,Hedgehog pathway inhibitor|Smoothened receptor antagonist
taselisib,1.0738,PI3K inhibitor
atenolol,1.2572,Adrenergic receptor antagonist
famciclovir,1.3136,DNA polymerase inhibitor
clofibrate,1.1777,PPAR receptor agonist
7-hydroxystaurosporine,1.0602,CDK inhibitor|CHK inhibitor|PKC inhibitor
betulinic-acid,0.9218,Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV integrase inhibitor|NFkB pathway activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor
JZL-184,1.3036,Monoacylglucerol lipase inhibitor
VU-0361737,1.1894,Glutamate receptor positive allosteric modulator
M-344,0.9535,HDAC inhibitor
MPI-0479605,1.0226,Mitotic kinase inhibitor
3'-fluorobenzylspiperone,0.5712,Dopamine receptor ligand
anguidine,0.8024,Protein synthesis inhibitor
ARRY-334543,1.0401,EGFR inhibitor
TG-100713,1.0056,PI3K inhibitor
acetylsalicylsalicylic-acid,1.3741,Cyclooxygenase inhibitor
phenazone,0.3917,Cyclooxygenase inhibitor
cytochalasin-b,1.2813,Microtubule inhibitor
chlorogenic-acid,1.1698,Antioxidant
KI-8751,1.1617,VEGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
BMS-754807,1.133,IGF-1 inhibitor
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,0.7669,Serotonin receptor antagonist
PP-1,1.6616,Abl kinase inhibitor|Src inhibitor
podophyllotoxin,1.1695,Microtubule inhibitor|Tubulin inhibitor
bephenium,1.2536,Acetylcholine receptor agonist
balapiravir,0.922,RNA polymerase inhibitor
cebranopadol,1.1838,Opioid receptor agonist
tecastemizole,0.3083,Histamine receptor antagonist
CNX-774,1.1993,Bruton's tyrosine kinase (BTK) inhibitor
YM-201636,1.36,PI3K inhibitor
methyldopa,-1.0118,Adrenergic receptor agonist
BAY-11-7085,0.7781,NFkB pathway inhibitor
PSB-1115,1.3438,Adenosine receptor antagonist
hyodeoxycholic-acid,1.0221,Atherosclerosis formation inhibitor
securinine,1.3314,GABA receptor antagonist|TP53 activator
nintedanib,1.3291,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
prazosin,0.2626,Adrenergic receptor antagonist
vincristine,1.3335,Tubulin inhibitor
BIBU-1361,0.9455,EGFR inhibitor
dasatinib,1.5845,Bcr-Abl kinase inhibitor|Ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor|Tyrosine kinase inhibitor
thioguanine,1.0229,Purine antagonist
PIK-75,1.0741,DNA protein kinase inhibitor|PI3K inhibitor
pilaralisib,1.1493,PI3K inhibitor
BX-912,1.1867,Pyruvate dehydrogenase kinase inhibitor
PD-0325901,1.1286,MAP kinase inhibitor|Protein kinase inhibitor|MEK inhibitor
mesna,1.0357,Antioxidant
PHA-767491,1.1025,CDC inhibitor
NVP-TAE684,0.8478,ALK tyrosine kinase receptor inhibitor
canertinib,0.998,EGFR inhibitor
fenofibrate,1.2507,PPAR receptor agonist
capsaicin,1.1032,TRPV agonist
oxiracetam,1.4449,Acetylcholine receptor agonist
cobicistat,1.2001,Cytochrome P450 inhibitor
lurasidone,0.5464,Dopamine receptor antagonist|Serotonin receptor antagonist
palbociclib,1.177,CDK inhibitor
fenbendazole,0.9838,Tubulin inhibitor
meglitinide,1.1272,Potassium channel blocker
toremifene,1.0415,Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
taurine,1.5998,Antioxidant
cabozantinib,1.3824,RET tyrosine kinase inhibitor|VEGFR inhibitor
TPCA-1,0.9626,IKK inhibitor
ilomastat,1.0798,Matrix metalloprotease inhibitor
hydroxyurea,0.7023,Ribonucleoside reductase inhibitor
nemorubicin,0.9089,Topoisomerase inhibitor
BIIB-021,1.1312,HSP inhibitor
oxibendazole,1.2355,Tubulin inhibitor
R-547,1.3022,CDK inhibitor
chlorhexidine,0.6625,Membrane integrity inhibitor
tacedinaline,0.7932,HDAC inhibitor
oligomycin-a,0.7735,ATP synthase inhibitor|ATPase inhibitor
clindamycin-phosphate,0.5739,Bacterial 50S ribosomal subunit inhibitor|Protein synthesis inhibitor
TAK-715,1.2882,P38 MAPK inhibitor
dirithromycin,1.4099,Bacterial 50S ribosomal subunit inhibitor
epothilone-d,1.1565,Microtubule stabilizing agent|Microtubule stimulant|Tubulin polymerisation inhibitor|Tubulin inhibitor
GDC-0941,0.868,PI3K inhibitor
pterostilbene,0.6065,Cyclooxygenase inhibitor|PPAR receptor agonist
tivozanib,1.1413,VEGFR inhibitor
OTS-167,0.8469,Maternal embryonic leucine zipper kinase inhibitor
arctigenin,0.9131,MEK inhibitor
aurora-a-inhibitor-i,0.4392,Aurora kinase inhibitor
baricitinib,1.0514,JAK inhibitor
MK-5108,1.391,Aurora kinase inhibitor
cinalukast,0.8806,Leukotriene receptor antagonist
PRT-062607,0.7927,Syk inhibitor
ruxolitinib,1.4614,JAK inhibitor
remoxipride,0.9082,Dopamine receptor antagonist
CMPD-1,1.257,P38 MAPK inhibitor
halofuginone,1.0548,Collagenase inhibitor
MK-1775,0.7397,WEE1 kinase inhibitor
monobenzone,0.5882,Melanin inhibitor
zolmitriptan,0.8385,Serotonin receptor agonist
PR-619,1.0885,DUB inhibitor
JQ1-(+),1.2315,Bromodomain inhibitor
fudosteine,1.2769,Mucolytic agent
equol,-1.0432,Estrogen receptor agonist
alpelisib,0.945,PI3K inhibitor
azacitidine,1.184,DNA methyltransferase inhibitor
rigosertib,1.1438,Cell cycle inhibitor|PLK inhibitor
SC-144,1.0601,P-glycoprotein inhibitor
AM-404,1.0829,Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist
latrepirdine,0.9236,Glutamate receptor antagonist
AP-26113,1.2036,ALK tyrosine kinase receptor inhibitor
rifampin,1.0096,RNA polymerase inhibitor
MGCD-265,1.0134,VEGFR inhibitor
voxtalisib,1.0745,MTOR inhibitor|PI3K inhibitor
ABT-737,1.0227,BCL inhibitor
amonafide,1.3989,Topoisomerase inhibitor
vemurafenib,1.191,RAF inhibitor
MK-2461,1.4323,FGFR inhibitor|VEGFR inhibitor
chicago-sky-blue-6b,1.3968,Glutamate transporter modulator|Macrophage migration inhibiting factor inhibitor|Glutamate inhibitor|Macrophage inhibitor
clofazimine,0.5387,GK0582 inhibitor
Y-39983,1.2384,Rho associated kinase inhibitor
epirubicin,1.3107,Topoisomerase inhibitor
fluroxene,1.199,Local anesthetic
dacinostat,0.6806,HDAC inhibitor
selumetinib,1.5122,MEK inhibitor
CCT-129202,0.8435,Aurora kinase inhibitor
dacomitinib,1.2133,EGFR inhibitor
Ro-9187,0.9039,HCV inhibitor
hesperadin,1.1217,Aurora kinase inhibitor
Ro-90-7501,1.5372,Beta amyloid inhibitor
AT-13387,1.0645,HSP antagonist
palmatine-chloride,0.7831,Dopamine synthesis inhibitor
FK-866,0.9051,Niacinamide phosphoribosyltransferase inhibitor
amoxicillin,0.6198,Penicillin binding protein inhibitor
NMS-E973,0.8626,HSP90 Inhibitor
AZD-6482,1.1069,PI3K inhibitor
acetylcysteine,0.7812,Mucolytic agent
AZ-3146,0.9169,Monopolar spindle 1 kinase inhibitor
naproxen,-0.7614,Cyclooxygenase inhibitor
MLN-0128,0.6808,MTOR inhibitor
delanzomib,0.7665,Proteasome inhibitor
tozasertib,1.2574,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor
tedizolid,0.9666,Bacterial 50S ribosomal subunit inhibitor
piperine,0.6036,Monoamine oxidase inhibitor
cyproterone-acetate,0.7723,Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist
ubenimex,0.4995,Leukotriene inhibitor
LDN-212854,0.9005,Bone morphogenic protein inhibitor
CB-10-277-(free-acid),1.1088,DNA inhibitor|DNA synthesis inhibitor
sulfabenzamide,0.9871,Bacterial antifolate
crystal-violet,0.6757,Other antibiotic
tiagabine,0.6318,GABA uptake inhibitor
tyrphostin-AG-99,1.0817,Tyrosine kinase inhibitor
MG-132,0.6648,Proteasome inhibitor
niacin,0.9176,NAD precursor with lipid lowering effects|Vitamin B
GSK-1292263,0.6073,"Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Agonists"
chlormidazole,0.9327,Fungal lanosterol demethylase inhibitor
ONX-0914,0.9106,Proteasome inhibitor
paricalcitol,0.5369,Vitamin D receptor agonist
idelalisib,1.2225,PI3K inhibitor
PHA-848125,1.1563,CDK inhibitor|Growth factor receptor inhibitor
SB-218795,0.946,Tachykinin antagonist
combretastatin-A-4,0.9073,Tubulin inhibitor|Angiogenesis inhibitor|Apoptosis stimulant|Tubulin polymerisation inhibitor
SGI-1027,1.0271,DNA methyltransferase inhibitor
endo-IWR-1,1.0565,PARP inhibitor
SB-225002,0.8456,CC chemokine receptor antagonist
romidepsin,0.9379,HDAC inhibitor
thiomersal,0.7537,Other antibiotic
SB-366791,1.087,TRPV antagonist
resatorvid,1.1075,Toll-like receptor antagonist
FERb-033,0.7629,ErbB2 inhibitor
RGFP-966,0.856,HDAC inhibitor
fleroxacin,1.3878,Topoisomerase inhibitor
"2,3-DCPE",1.0975,Bcl-XL downregulator
AS-1949490,0.7728,SHIP2 phosphatase inhibitor
AVN-944,0.9301,Inosine monophosphate dehydrogenase inhibitor
anagrelide,0.7469,Phosphodiesterase inhibitor
fluticasone-propionate,1.289,Glucocorticoid receptor agonist
venetoclax,0.873,BCL inhibitor
lerisetron,0.9479,Serotonin receptor antagonist
aztreonam,0.4304,Bacterial cell wall synthesis inhibitor
idasanutlin,0.9782,MDM inhibitor
G-1,1.1056,G protein-coupled receptor agonist
BMS-265246,0.9442,CDK inhibitor
tipifarnib-P2,1.5103,Farnesyltransferase inhibitor
ZSTK-474,0.9895,PI3K inhibitor
idarubicin,1.2196,Topoisomerase inhibitor
epinephrine,1.5655,Adrenergic receptor agonist|Neurotransmitter
EPZ-5676,1.3726,DOT1L inhibitor
semaxanib,1.1433,VEGFR inhibitor
temoporfin,1.2466,Radical formation stimulant
acipimox,0.7899,Cholesterol inhibitor
mycophenolic-acid,0.8429,Dehydrogenase inhibitor|Inositol monophosphatase inhibitor
10-hydroxycamptothecin,0.253,Topoisomerase inhibitor
raloxifene,1.4287,Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
barasertib-HQPA,1.2504,Aurora kinase inhibitor
2'-MeCCPA,1.1061,Adenosine receptor agonist
gefitinib,0.9699,EGFR inhibitor
dienogest,1.127,Progesterone receptor agonist
Ro-4987655,1.2165,MEK inhibitor
torcetrapib,1.151,Cholesteryl ester transfer protein inhibitor
PHA-793887,1.4163,CDK inhibitor
CYC-116,1.4373,Aurora kinase inhibitor
ispinesib,1.1727,Kinesin inhibitor
AZ-960,1.2312,JAK inhibitor
BI-2536,1.4165,PLK inhibitor
AMG-232,1.3804,MDM inhibitor
nefiracetam,0.8459,Acetylcholine receptor agonist|GABA receptor agonist
avanafil,1.1102,Phosphodiesterase inhibitor
diphenyleneiodonium,0.9706,Nitric oxide synthase inhibitor
halobetasol-propionate,1.0269,Glucocorticoid receptor agonist|Immunosuppressant
serdemetan,1.0441,MDM inhibitor
AZD-1480,0.7267,JAK inhibitor
salidroside,1.0531,Beta amyloid protein neurotoxicity inhibitor
CPP,0.3779,Glutamate receptor antagonist
TMC-353121,0.9692,RSV fusion inhibitor
afatinib,1.0079,EGFR inhibitor
fluvastatin,2.0434,HMGCR inhibitor
VU-0364770,1.2693,Glutamate receptor positive allosteric modulator
fludarabine,1.0714,DNA synthesis inhibitor
oxyquinoline,0.5379,Chelating agent
oleoylethanolamide,-0.7461,Cannabinoid receptor agonist|Glucose dependent insulinotropic receptor agonist|Potassium channel blocker|PPAR receptor agonist
altretamine,0.8092,DNA synthesis inhibitor
4E1RCat,0.9241,Protein synthesis inhibitor
adipiodone,1.2585,Contrast agent
SB-431542,0.7272,TGF beta receptor inhibitor
PQ-401,0.78,Insulin growth factor receptor inhibitor|IGF-1 inhibitor
KU-0063794,0.7856,MTOR inhibitor
GDC-0879,0.6734,RAF inhibitor
rheochrysidin,0.8431,Protein tyrosine kinase inhibitor
pevonedistat,0.6464,Nedd activating enzyme inhibitor
PI-103,0.9115,MTOR inhibitor|PI3K inhibitor
eprosartan,0.7936,Angiotensin receptor antagonist
MK-2206,-1.1745,AKT inhibitor
palmitoylethanolamide,0.8045,Cannabinoid receptor agonist
CGS-20625,1.3171,Benzodiazepine receptor agonist
epothilone-b,1.1168,Microtubule stabilizing agent|Tubulin inhibitor|Microtubule stimulant
torin-2,0.6675,MTOR inhibitor
trichostatin-a,0.6602,HDAC inhibitor|CDK expression enhancer|ID1 expression inhibitor
tyrphostin-AG-1478,1.092,EGFR inhibitor
amsacrine,1.0608,Topoisomerase inhibitor
ZK-93426,0.7782,Benzodiazepine receptor antagonist
EVP-4593,0.8709,NFkB pathway inhibitor
proflavine-hemisulfate,0.6531,Topical anesthetic
ENMD-2076,1.1866,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor
dianhydrogalactitol,0.8669,DNA alkylating drug
dicycloverine,0.9309,Acetylcholine receptor antagonist
SB-743921,0.8996,Kinesin-like spindle protein inhibitor
BVT-948,0.6796,Tyrosine phosphatase inhibitor
ACDPP,0.9996,Glutamate receptor antagonist
lidamidine,1.1612,Adrenergic receptor agonist
PF-03814735,1.1081,Aurora kinase inhibitor
GDC-0152,1.2893,XIAP inhibitor
PF-3845,1.1488,FAAH inhibitor
golvatinib,0.7875,VEGFR inhibitor
sertindole,-0.696,Dopamine receptor antagonist|Serotonin receptor antagonist
cisplatin,0.9901,DNA alkylating agent|DNA synthesis inhibitor
vinorelbine,1.336,Tubulin inhibitor
atorvastatin,2.3697,HMGCR inhibitor
mericitabine,0.9924,HCV inhibitor
volasertib,1.0977,PLK inhibitor
AZD-8055,0.5433,MTOR inhibitor
SMI-4a,1.2257,Pim kinase inhibitor
vatalanib,0.8086,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
INH1,1.0606,Hec1 inhibitor
ibrutinib,0.7668,BTK inhibitor
aripiprazole,0.6738,Serotonin receptor agonist|Serotonin receptor antagonist
erlotinib,1.2259,EGFR inhibitor
nexturastat-a,0.6635,HDAC inhibitor
BAY-87-2243,1.0547,Hypoxia inducible factor inhibitor
ranitidine,0.717,Histamine receptor antagonist
HMN-214,1.1603,PLK inhibitor
BIBX-1382,1.352,Tyrosine kinase inhibitor|EGFR inhibitor
dorzolamide,0.7927,Carbonic anhydrase inhibitor
fludarabine-phosphate,0.7908,DNA synthesis inhibitor|DNA repair enzyme inhibitor|Purine antagonist
KD-023,1.089,ACAT inhibitor
birinapant,1.3779,XIAP inhibitor
SNX-2112,0.8849,HSP inhibitor
KPT-185,1.093,Exportin antagonist
SNS-314,1.3969,Aurora kinase inhibitor
vidarabine,-1.29,Antiviral
cefditoren-pivoxil,0.8754,Bacterial cell wall synthesis inhibitor
baicalein,1.2669,Lipoxygenase inhibitor
AZD-5438,0.943,CDK inhibitor
WZ-4002,1.5024,EGFR inhibitor
ZM-447439,1.4316,Aurora kinase inhibitor
benzethonium,0.8159,Sodium channel blocker
arcyriaflavin-a,1.0223,CDK inhibitor
xanomeline,1.1508,Acetylcholine receptor agonist
CEP-37440,0.8711,ALK tyrosine kinase receptor inhibitor
valrubicin,1.109,DNA inhibitor|Topoisomerase inhibitor
floxuridine,1.2744,DNA synthesis inhibitor
SNX-5422,1.0388,HSP inhibitor
tacalcitol,1.0263,Vitamin D receptor agonist
WZ-3146,1.1283,EGFR inhibitor
4-methylgenistein,1.4665,Protein tyrosine kinase inhibitor
OSI-420,1.2442,EGFR inhibitor
quinisocaine,1.3529,Local anesthetic
bekanamycin,1.2166,Bacterial 30S ribosomal subunit inhibitor
nizatidine,0.9237,Histamine receptor antagonist
azithromycin,0.3792,Bacterial 50S ribosomal subunit inhibitor
cinacalcet,0.5241,Calcium channel activator
BI-78D3,-0.7376,JNK inhibitor
indibulin,1.0805,Tubulin inhibitor
naftifine,0.9527,Fungal squalene epoxidase inhibitor
phenylmercuric-acetate,0.8457,Other antifungal
IKK-2-inhibitor-V,0.95,IKK inhibitor|NFkB pathway inhibitor
pazopanib,1.271,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
bosentan,1.0126,Endothelin receptor antagonist
SCH-900776,1.0264,CHK inhibitor
carbachol,1.3175,Cholinergic receptor agonist
alisertib,1.1958,Aurora kinase inhibitor
KPT-276,1.3447,Exportin antagonist
tioguanine,1.4594,Purine antagonist
SU-014813,1.3329,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
pitavastatin,1.9894,HMGCR inhibitor
guanidine,1.3887,HSP inhibitor
tyrphostin-AG-1296,1.0786,FLT3 inhibitor
JIB04,1.1169,Histone lysine demethylase inhibitor
ulipristal,0.8162,Progesterone receptor antagonist
resiquimod,0.81,Toll-like receptor agonist
BMS-690514,1.0969,EGFR inhibitor|VEGFR inhibitor
CCT-128930,0.5956,AKT inhibitor
homoharringtonine,0.919,Protein synthesis inhibitor
YM-155,0.9182,Survivin inhibitor
RS-17053,0.3598,Adrenergic receptor antagonist
CP-724714,0.7959,Tyrosine kinase inhibitor|EGFR inhibitor
tryptanthrin,0.6316,Cyclooxygenase inhibitor
WYE-354,1.0461,MTOR inhibitor
gamma-aminobutyric-acid,1.3623,GABA receptor agonist
triamcinolone,1.0804,Glucocorticoid receptor agonist
vandetanib,1.1592,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K77634909,1.1493,HSP inducer|Protein kinase inhibitor
CUDC-907,0.7966,PI3K inhibitor
SB-200646,1.1941,Serotonin receptor antagonist
dequalinium,1.1429,PKC inhibitor
entinostat,1.1805,HDAC inhibitor
NVP-BVU972,0.8083,MET inhibitor
mebendazole,0.7763,Tubulin inhibitor
LY-2090314,0.3771,Glycogen synthase kinase inhibitor
oxiperomide,0.8202,Dopamine receptor antagonist
menadione,0.7447,Mitochondrial DNA polymerase inhibitor|Phosphatase inhibitor
A-674563,0.8705,AKT inhibitor
PF-4981517,1.3509,Cytochrome P450 inhibitor
crizotinib,1.1955,ALK tyrosine kinase receptor inhibitor
dolastatin-10,0.9633,Tubulin inhibitor|Immunostimulant|Microtubule inhibitor|Tubulin polymerisation inhibitor
ixazomib,1.083,Proteasome inhibitor
pentagastrin,0.7753,CCK receptor agonist
suxibuzone,1.2767,Cyclooxygenase inhibitor
oxaliplatin,0.8442,DNA inhibitor
albendazole,1.1346,Tubulin inhibitor
nimorazole,-0.9206,Bacterial DNA inhibitor
PF-573228,1.8893,Focal adhesion kinase inhibitor
decitabine,0.8131,DNA methyltransferase inhibitor
NVP-BHG712,0.9461,Ephrin inhibitor
inosine,0.9955,Neurotrophic agent
Ro-10-5824,0.9658,Dopamine receptor agonist
GW-583340,1.0006,Receptor tyrosine protein kinase inhibitor|EGFR inhibitor|ErbB2 inhibitor
TAK-285,0.6576,EGFR inhibitor
triciribine,1.0479,AKT inhibitor
repsox,1.0172,TGF beta receptor inhibitor
erteberel,1.0353,Estrogen receptor agonist
SGI-1776,1.6504,Pim kinase inhibitor
RS-16566,0.5949,Serotonin receptor antagonist
INC-280,1.658,C-Met inhibitor
cyclocytidine,0.925,DNA synthesis inhibitor|RNA synthesis inhibitor
azilsartan,0.8604,Angiotensin receptor antagonist
NSC-632839,0.6681,Ubiquitin specific protease inhibitor
SCH-58261,0.7488,Adenosine receptor antagonist
triptolide,0.563,RNA polymerase inhibitor
tideglusib,1.2745,Glycogen synthase kinase inhibitor
maxacalcitol,0.7006,Vitamin D receptor agonist
vorinostat,0.7562,HDAC inhibitor
CX-4945,0.8011,Casein kinase inhibitor
tanespimycin,1.0631,HSP inhibitor
nilotinib,0.9464,Abl kinase inhibitor|Bcr-Abl kinase inhibitor
AC-264613,1.0632,PAR agonist
VTP-27999,1.5547,Renin inhibitor
WZ-8040,0.5656,EGFR inhibitor
PP-121,1.1683,Receptor tyrosine protein kinase inhibitor
triclabendazole,0.8291,Microtubule inhibitor
SB-239063,0.5213,P38 MAPK inhibitor
amfenac,1.0197,Cyclooxygenase inhibitor
elesclomol,0.5643,Oxidative stress inducer
navitoclax,0.8287,BCL inhibitor
batimastat,1.0283,Matrix metalloprotease inhibitor
PD-407824,0.529,PKC inhibitor
repaglinide,-1.3994,Insulin secretagogue
navarixin,1.0808,CC chemokine receptor antagonist
daclatasvir,0.7777,HCV inhibitor
ACY-1215,0.5596,HDAC inhibitor
doxercalciferol,1.0786,Vitamin D receptor agonist
doxifluridine,0.831,Thymidylate synthase inhibitor
chloropyramine,0.5852,Histamine receptor antagonist
skepinone-l,0.9135,P38 MAPK inhibitor
NMS-1286937,1.044,PLK inhibitor
PTC-209,0.9346,BMI-1 inhibitor
JNJ-26481585,0.8219,HDAC inhibitor
MLN-8054,1.0632,Mitotic inhibitor|Protein kinase inhibitor|Aurora kinase inhibitor
alvespimycin,0.8676,HSP inhibitor
nizofenone,0.8437,Ion channel antagonist
candesartan,1.2337,Angiotensin receptor antagonist
ercalcitriol,1.0212,Vitamin D receptor agonist
telatinib,0.8629,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
trequinsin,0.698,Phosphodiesterase inhibitor
radezolid,1.1476,Bacterial 30S ribosomal subunit inhibitor|Bacterial 50S ribosomal subunit inhibitor
