pert_iname,query,moa
levobunolol,1.0695,Adrenergic receptor antagonist
TAK-632,0.7431,RAF inhibitor
barasertib,-0.7299,Aurora kinase inhibitor
temozolomide,-1.4407,DNA alkylating drug
AMG-208,0.9067,Tyrosine kinase inhibitor
etomoxir,-0.9364,Carnitine palmitoyltransferase inhibitor
vanoxerine,0.7165,Dopamine uptake inhibitor
SU-3327,1.3588,JNK inhibitor
disulfiram,1.2079,Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
azathioprine,-1.0565,Dehydrogenase inhibitor
adapalene,-1.3926,Retinoid receptor agonist
tivantinib,0.6816,Tyrosine kinase inhibitor
obidoxime,-1.407,Cholinesterase reactivator
rociletinib,1.9124,EGFR inhibitor
LY-2835219,1.0525,CDK inhibitor
difluprednate,1.3265,Glucocorticoid receptor agonist
valnemulin,1.3504,Bacterial 50S ribosomal subunit inhibitor
GW-3965,0.8706,ABC transporter expression enhancer|LXR agonist
ZK-93423,0.9031,Benzodiazepine receptor agonist
clofarabine,0.8388,Ribonucleoside reductase inhibitor
tanshinone-i,-0.9941,AP inhibitor
cimetidine,0.8258,Histamine receptor antagonist
imidapril,1.1911,Angiotensin converting enzyme inhibitor
streptozotocin,0.8346,DNA alkylating agent
parthenolide-(-),1.2273,NFkB pathway inhibitor|Adiponectin receptor agonist
levonorgestrel,-0.7411,Estrogen receptor agonist|Glucocorticoid receptor antagonist|Progesterone receptor agonist|Progesterone receptor antagonist
ciclesonide,1.2687,Glucocorticoid receptor agonist
GZD-824,0.6734,Bcr-Abl kinase inhibitor
dacarbazine,0.9753,DNA alkylating agent
niclosamide,0.8209,DNA replication inhibitor|STAT inhibitor
ABT-702,-1.3014,Adenosine kinase inhibitor
cycloheximide,1.3085,Protein synthesis inhibitor
WAY-170523,-0.6435,Metalloproteinase inhibitor
carmustine,0.8797,DNA alkylating drug|DNA inhibitor
asymmetrical-dimethylarginine,1.0791,Dimethylarginine dimethylaminohydrolase inhibitor|Nitric oxide synthase inhibitor
dolutegravir,0.5696,HIV integrase inhibitor
bindarit,1.0946,NFkB pathway inhibitor
PU-H71,1.0695,HSP inhibitor
tamibarotene,0.5724,Retinoid receptor agonist
stemregenin-1,1.0354,Aryl hydrocarbon receptor antagonist
GSK-1070916,1.1743,Aurora kinase inhibitor
ribociclib,1.1995,CDK inhibitor
CEP-33779,0.6813,JAK inhibitor
astemizole,0.8598,Histamine receptor antagonist
mifepristone,1.3379,Glucocorticoid receptor antagonist|Progesterone receptor antagonist
kenpaullone,1.4711,CDK inhibitor|Glycogen synthase kinase inhibitor
filanesib,0.8188,Kinesin inhibitor
zardaverine,0.4796,Phosphodiesterase inhibitor
GSK-256066,1.0233,Phosphodiesterase inhibitor
MRS-1220,1.177,Adenosine receptor antagonist
AZD-8330,-0.9412,MEK inhibitor
SB-525334,-1.4455,TGF beta receptor inhibitor
dioscin,0.7717,Apoptosis stimulant
PF-03758309,1.0822,P21 activated kinase inhibitor
afobazole,0.8031,Anxiolytic
LY-2183240,0.7423,FAAH reuptake inhibitor|FAAH inhibitor
camptothecin,0.7968,Topoisomerase inhibitor
clonazepam,0.9987,GABA benzodiazepine site receptor agonist
narlaprevir,1.2463,HCV inhibitor
domperidone,-0.8068,Dopamine receptor antagonist
uprosertib,0.5913,AKT inhibitor
FK-3311,-0.8788,Cyclooxygenase inhibitor
diazooxonorleucine,-1.2198,Glutamate receptor antagonist
VER-49009,1.644,HSP inhibitor
ganetespib,0.9545,HSP inhibitor
JK-184,0.6836,Hedgehog pathway inhibitor
MK-0773,0.8455,Androgen receptor modulator
SAR-131675,-0.9989,VEGFR inhibitor
STF-118804,1.2079,NAMPT inhibitor
atipamezole,1.0752,Adrenergic receptor antagonist
DMH1,-0.778,ALK tyrosine kinase receptor inhibitor
nithiamide,1.1791,Bacterial DNA inhibitor
SDZ-WAG-994,0.9033,Adenosine receptor agonist
TG-101209,0.5494,JAK inhibitor
lenvatinib,1.4343,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
bisacodyl,1.0569,Laxative
SB-505124,0.9814,ALK tyrosine kinase receptor inhibitor
torin-1,0.5493,MTOR inhibitor|PI3K inhibitor
tyrphostin-A9,0.8557,Protein tyrosine kinase inhibitor|Tyrosine kinase inhibitor
crizotinib-(S),0.822,MTH1 inhibitor
CR8-(R),1.1575,CDK inhibitor
spermidine,0.9346,Glutamate receptor modulator
eltrombopag,1.0862,Thrombopoietin receptor agonist
SC-12267,1.1198,Dihydroorotate dehydrogenase inhibitor
parachlorophenol,0.7341,Antiinfective drug
GSK-2656157,0.7116,PERK inhibitor
KW-2478,1.1114,HSP inhibitor
CUDC-101,1.5406,EGFR inhibitor
GW-441756,-1.3014,Growth factor receptor inhibitor
ZM-306416,1.9376,Abl kinase inhibitor|Src inhibitor|VEGFR inhibitor
lonafarnib,0.9856,Farnesyltransferase inhibitor
STA-5326,0.9646,Interleukin synthesis inhibitor
NVP-AUY922,1.2959,HSP inhibitor
tioxolone,1.4217,Carbonic anhydrase inhibitor
buparlisib,0.6794,PI3K inhibitor
AZ-20,1.2833,ATR kinase inhibitor
tasisulam,-1.7144,Apoptosis stimulant
satraplatin,1.082,DNA alkylating drug
epiandrosterone,1.1282,Steroid
sunitinib,-0.5763,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
temsirolimus,0.8472,MTOR inhibitor
acetophenazine,0.864,Dopamine receptor antagonist
CHIR-98014,1.3337,GSK inhibitor
mibampator,1.0946,Glutamate receptor modulator
SR-33805,1.1701,Calcium channel blocker
GDC-0349,0.58,Pim kinase inhibitor
polydatin,1.0485,ICAM1 expression inhibitor
BMS-387032,0.6081,CDK inhibitor|Cell cycle inhibitor|MCL1 inhibitor
oncrasin-1,1.2996,Apoptosis stimulant
OTX-015,1.1408,Bromodomain inhibitor
defactinib,-1.1477,Focal adhesion kinase inhibitor
CP-673451,1.3979,PDGFR tyrosine kinase receptor inhibitor
WP-1130,0.7626,Deubiquitinase inhibitor
iobenguane,-1.2246,Antineoplastic agent
flufenamic-acid,1.0359,Chloride channel blocker
Y-27632,0.5662,Rho associated kinase inhibitor
ponatinib,0.7088,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor
2-methoxyestradiol,0.9856,Hypoxia inducible factor inhibitor
bromosporine,0.8514,Bromodomain inhibitor
vismodegib,0.8195,Hedgehog pathway inhibitor|Smoothened receptor antagonist
taselisib,0.7423,PI3K inhibitor
atenolol,1.0236,Adrenergic receptor antagonist
famciclovir,-0.9172,DNA polymerase inhibitor
clofibrate,1.0778,PPAR receptor agonist
7-hydroxystaurosporine,1.1151,CDK inhibitor|CHK inhibitor|PKC inhibitor
betulinic-acid,-0.8548,Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV integrase inhibitor|NFkB pathway activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor
JZL-184,0.8473,Monoacylglucerol lipase inhibitor
VU-0361737,-0.5619,Glutamate receptor positive allosteric modulator
M-344,0.8575,HDAC inhibitor
MPI-0479605,0.8388,Mitotic kinase inhibitor
3'-fluorobenzylspiperone,0.6668,Dopamine receptor ligand
anguidine,0.7046,Protein synthesis inhibitor
ARRY-334543,1.2456,EGFR inhibitor
TG-100713,1.4828,PI3K inhibitor
acetylsalicylsalicylic-acid,1.0359,Cyclooxygenase inhibitor
phenazone,0.6724,Cyclooxygenase inhibitor
cytochalasin-b,-0.6852,Microtubule inhibitor
chlorogenic-acid,1.1659,Antioxidant
KI-8751,0.972,VEGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor
BMS-754807,-0.9172,IGF-1 inhibitor
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,0.6107,Serotonin receptor antagonist
PP-1,1.0695,Abl kinase inhibitor|Src inhibitor
podophyllotoxin,0.8933,Microtubule inhibitor|Tubulin inhibitor
bephenium,-1.0709,Acetylcholine receptor agonist
balapiravir,0.8388,RNA polymerase inhibitor
cebranopadol,1.2498,Opioid receptor agonist
tecastemizole,0.7217,Histamine receptor antagonist
CNX-774,0.9886,Bruton's tyrosine kinase (BTK) inhibitor
YM-201636,-1.0709,PI3K inhibitor
methyldopa,-1.0469,Adrenergic receptor agonist
BAY-11-7085,0.8304,NFkB pathway inhibitor
PSB-1115,1.3079,Adenosine receptor antagonist
hyodeoxycholic-acid,-1.1333,Atherosclerosis formation inhibitor
securinine,1.233,GABA receptor antagonist|TP53 activator
nintedanib,1.2079,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
prazosin,-1.1573,Adrenergic receptor antagonist
vincristine,0.8388,Tubulin inhibitor
BIBU-1361,1.7322,EGFR inhibitor
dasatinib,1.0571,Bcr-Abl kinase inhibitor|Ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|Src inhibitor|Tyrosine kinase inhibitor
thioguanine,0.7736,Purine antagonist
PIK-75,1.0997,DNA protein kinase inhibitor|PI3K inhibitor
pilaralisib,0.7542,PI3K inhibitor
BX-912,-0.85,Pyruvate dehydrogenase kinase inhibitor
PD-0325901,-0.9124,MAP kinase inhibitor|Protein kinase inhibitor|MEK inhibitor
mesna,0.8066,Antioxidant
PHA-767491,-0.8276,CDC inhibitor
NVP-TAE684,1.1449,ALK tyrosine kinase receptor inhibitor
canertinib,1.6524,EGFR inhibitor
fenofibrate,1.3193,PPAR receptor agonist
capsaicin,1.5124,TRPV agonist
oxiracetam,0.9298,Acetylcholine receptor agonist
cobicistat,1.2106,Cytochrome P450 inhibitor
lurasidone,1.2166,Dopamine receptor antagonist|Serotonin receptor antagonist
palbociclib,-1.5031,CDK inhibitor
fenbendazole,0.4488,Tubulin inhibitor
meglitinide,1.0653,Potassium channel blocker
toremifene,0.8262,Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
taurine,1.1827,Antioxidant
cabozantinib,-0.6771,RET tyrosine kinase inhibitor|VEGFR inhibitor
TPCA-1,1.0191,IKK inhibitor
ilomastat,-1.0757,Matrix metalloprotease inhibitor
hydroxyurea,1.2293,Ribonucleoside reductase inhibitor
nemorubicin,1.0359,Topoisomerase inhibitor
BIIB-021,0.9908,HSP inhibitor
oxibendazole,1.2917,Tubulin inhibitor
R-547,0.6249,CDK inhibitor
chlorhexidine,0.6116,Membrane integrity inhibitor
tacedinaline,1.2833,HDAC inhibitor
oligomycin-a,1.05,ATP synthase inhibitor|ATPase inhibitor
clindamycin-phosphate,-1.2966,Bacterial 50S ribosomal subunit inhibitor|Protein synthesis inhibitor
TAK-715,1.3588,P38 MAPK inhibitor
dirithromycin,-1.4167,Bacterial 50S ribosomal subunit inhibitor
epothilone-d,0.8598,Microtubule stabilizing agent|Microtubule stimulant|Tubulin polymerisation inhibitor|Tubulin inhibitor
GDC-0941,-0.9316,PI3K inhibitor
pterostilbene,-0.6667,Cyclooxygenase inhibitor|PPAR receptor agonist
tivozanib,1.2596,VEGFR inhibitor
OTS-167,-0.922,Maternal embryonic leucine zipper kinase inhibitor
arctigenin,0.6473,MEK inhibitor
aurora-a-inhibitor-i,0.9989,Aurora kinase inhibitor
baricitinib,0.5981,JAK inhibitor
MK-5108,1.0192,Aurora kinase inhibitor
cinalukast,0.6226,Leukotriene receptor antagonist
PRT-062607,0.6375,Syk inhibitor
ruxolitinib,0.8514,JAK inhibitor
remoxipride,-1.8825,Dopamine receptor antagonist
CMPD-1,0.8807,P38 MAPK inhibitor
halofuginone,1.2276,Collagenase inhibitor
MK-1775,0.8099,WEE1 kinase inhibitor
monobenzone,0.6157,Melanin inhibitor
zolmitriptan,-1.4022,Serotonin receptor agonist
PR-619,0.8172,DUB inhibitor
JQ1-(+),-0.9076,Bromodomain inhibitor
fudosteine,1.0034,Mucolytic agent
equol,-0.9508,Estrogen receptor agonist
alpelisib,-0.9845,PI3K inhibitor
azacitidine,1.2833,DNA methyltransferase inhibitor
rigosertib,0.8648,Cell cycle inhibitor|PLK inhibitor
SC-144,1.3514,P-glycoprotein inhibitor
AM-404,1.3714,Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist
latrepirdine,1.405,Glutamate receptor antagonist
AP-26113,1.2522,ALK tyrosine kinase receptor inhibitor
rifampin,0.8343,RNA polymerase inhibitor
MGCD-265,1.3421,VEGFR inhibitor
voxtalisib,-0.8474,MTOR inhibitor|PI3K inhibitor
ABT-737,0.7334,BCL inhibitor
amonafide,-0.8116,Topoisomerase inhibitor
vemurafenib,1.0731,RAF inhibitor
MK-2461,-1.2726,FGFR inhibitor|VEGFR inhibitor
chicago-sky-blue-6b,0.761,Glutamate transporter modulator|Macrophage migration inhibiting factor inhibitor|Glutamate inhibitor|Macrophage inhibitor
clofazimine,1.1659,GK0582 inhibitor
Y-39983,0.6831,Rho associated kinase inhibitor
epirubicin,0.6501,Topoisomerase inhibitor
fluroxene,-0.6819,Local anesthetic
dacinostat,0.9585,HDAC inhibitor
selumetinib,-1.5271,MEK inhibitor
CCT-129202,-0.8305,Aurora kinase inhibitor
dacomitinib,1.6398,EGFR inhibitor
Ro-9187,1.1743,HCV inhibitor
hesperadin,0.7172,Aurora kinase inhibitor
Ro-90-7501,1.0317,Beta amyloid inhibitor
AT-13387,1.2057,HSP antagonist
palmatine-chloride,-0.8644,Dopamine synthesis inhibitor
FK-866,0.6626,Niacinamide phosphoribosyltransferase inhibitor
amoxicillin,0.7256,Penicillin binding protein inhibitor
NMS-E973,0.9009,HSP90 Inhibitor
AZD-6482,0.7256,PI3K inhibitor
acetylcysteine,0.595,Mucolytic agent
AZ-3146,1.006,Monopolar spindle 1 kinase inhibitor
naproxen,-0.9893,Cyclooxygenase inhibitor
MLN-0128,0.7717,MTOR inhibitor
delanzomib,0.8933,Proteasome inhibitor
tozasertib,0.9101,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor
tedizolid,0.97,Bacterial 50S ribosomal subunit inhibitor
piperine,0.9772,Monoamine oxidase inhibitor
cyproterone-acetate,-0.7877,Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist
ubenimex,-0.9652,Leukotriene inhibitor
LDN-212854,1.0024,Bone morphogenic protein inhibitor
CB-10-277-(free-acid),1.2942,DNA inhibitor|DNA synthesis inhibitor
sulfabenzamide,0.9982,Bacterial antifolate
crystal-violet,1.1079,Other antibiotic
tiagabine,-1.2678,GABA uptake inhibitor
tyrphostin-AG-99,0.9887,Tyrosine kinase inhibitor
MG-132,1.1491,Proteasome inhibitor
niacin,0.8153,NAD precursor with lipid lowering effects|Vitamin B
GSK-1292263,1.2159,"Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Agonists"
chlormidazole,0.9424,Fungal lanosterol demethylase inhibitor
ONX-0914,0.9646,Proteasome inhibitor
paricalcitol,0.6953,Vitamin D receptor agonist
idelalisib,0.89,PI3K inhibitor
PHA-848125,0.5695,CDK inhibitor|Growth factor receptor inhibitor
SB-218795,0.6718,Tachykinin antagonist
combretastatin-A-4,1.2079,Tubulin inhibitor|Angiogenesis inhibitor|Apoptosis stimulant|Tubulin polymerisation inhibitor
SGI-1027,-1.4407,DNA methyltransferase inhibitor
endo-IWR-1,1.2608,PARP inhibitor
SB-225002,0.8746,CC chemokine receptor antagonist
romidepsin,0.8803,HDAC inhibitor
thiomersal,-0.6339,Other antibiotic
SB-366791,0.939,TRPV antagonist
resatorvid,0.6177,Toll-like receptor antagonist
FERb-033,-1.3398,ErbB2 inhibitor
RGFP-966,-0.632,HDAC inhibitor
fleroxacin,1.514,Topoisomerase inhibitor
"2,3-DCPE",1.1366,Bcl-XL downregulator
AS-1949490,0.8723,SHIP2 phosphatase inhibitor
AVN-944,0.7973,Inosine monophosphate dehydrogenase inhibitor
anagrelide,0.7938,Phosphodiesterase inhibitor
fluticasone-propionate,0.6626,Glucocorticoid receptor agonist
venetoclax,0.7927,BCL inhibitor
lerisetron,-0.9748,Serotonin receptor antagonist
aztreonam,1.2666,Bacterial cell wall synthesis inhibitor
idasanutlin,-1.1958,MDM inhibitor
G-1,0.8136,G protein-coupled receptor agonist
BMS-265246,0.7233,CDK inhibitor
tipifarnib-P2,1.124,Farnesyltransferase inhibitor
ZSTK-474,0.7633,PI3K inhibitor
idarubicin,0.7584,Topoisomerase inhibitor
epinephrine,0.8131,Adrenergic receptor agonist|Neurotransmitter
EPZ-5676,-0.6003,DOT1L inhibitor
semaxanib,-0.6291,VEGFR inhibitor
temoporfin,-1.0229,Radical formation stimulant
acipimox,0.9562,Cholesterol inhibitor
mycophenolic-acid,0.892,Dehydrogenase inhibitor|Inositol monophosphatase inhibitor
10-hydroxycamptothecin,-1.0037,Topoisomerase inhibitor
raloxifene,1.5559,Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
barasertib-HQPA,0.9562,Aurora kinase inhibitor
2'-MeCCPA,-1.2486,Adenosine receptor agonist
gefitinib,1.6224,EGFR inhibitor
dienogest,1.124,Progesterone receptor agonist
Ro-4987655,-1.239,MEK inhibitor
torcetrapib,-1.1861,Cholesteryl ester transfer protein inhibitor
PHA-793887,0.8982,CDK inhibitor
CYC-116,1.5056,Aurora kinase inhibitor
ispinesib,0.8215,Kinesin inhibitor
AZ-960,1.4301,JAK inhibitor
BI-2536,0.9595,PLK inhibitor
AMG-232,0.6752,MDM inhibitor
nefiracetam,0.8273,Acetylcholine receptor agonist|GABA receptor agonist
avanafil,1.2456,Phosphodiesterase inhibitor
diphenyleneiodonium,0.9958,Nitric oxide synthase inhibitor
halobetasol-propionate,1.1169,Glucocorticoid receptor agonist|Immunosuppressant
serdemetan,0.4823,MDM inhibitor
AZD-1480,0.7678,JAK inhibitor
salidroside,0.9425,Beta amyloid protein neurotoxicity inhibitor
CPP,-1.3398,Glutamate receptor antagonist
TMC-353121,1.2959,RSV fusion inhibitor
afatinib,1.5655,EGFR inhibitor
fluvastatin,1.1494,HMGCR inhibitor
VU-0364770,1.405,Glutamate receptor positive allosteric modulator
fludarabine,0.7465,DNA synthesis inhibitor
oxyquinoline,1.0988,Chelating agent
oleoylethanolamide,-0.8657,Cannabinoid receptor agonist|Glucose dependent insulinotropic receptor agonist|Potassium channel blocker|PPAR receptor agonist
altretamine,1.0904,DNA synthesis inhibitor
4E1RCat,0.9415,Protein synthesis inhibitor
adipiodone,1.5266,Contrast agent
SB-431542,1.1366,TGF beta receptor inhibitor
PQ-401,1.6105,Insulin growth factor receptor inhibitor|IGF-1 inhibitor
KU-0063794,1.0736,MTOR inhibitor
GDC-0879,0.8849,RAF inhibitor
rheochrysidin,1.0736,Protein tyrosine kinase inhibitor
pevonedistat,0.5788,Nedd activating enzyme inhibitor
PI-103,0.8503,MTOR inhibitor|PI3K inhibitor
eprosartan,1.514,Angiotensin receptor antagonist
MK-2206,-1.0085,AKT inhibitor
palmitoylethanolamide,1.103,Cannabinoid receptor agonist
CGS-20625,0.7339,Benzodiazepine receptor agonist
epothilone-b,1.0149,Microtubule stabilizing agent|Tubulin inhibitor|Microtubule stimulant
torin-2,1.2246,MTOR inhibitor
trichostatin-a,0.8655,HDAC inhibitor|CDK expression enhancer|ID1 expression inhibitor
tyrphostin-AG-1478,1.5192,EGFR inhibitor
amsacrine,0.7238,Topoisomerase inhibitor
ZK-93426,1.4721,Benzodiazepine receptor antagonist
EVP-4593,1.0341,NFkB pathway inhibitor
proflavine-hemisulfate,0.6417,Topical anesthetic
ENMD-2076,0.734,Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor
dianhydrogalactitol,0.8472,DNA alkylating drug
dicycloverine,0.7927,Acetylcholine receptor antagonist
SB-743921,0.6114,Kinesin-like spindle protein inhibitor
BVT-948,-0.8356,Tyrosine phosphatase inhibitor
ACDPP,1.2102,Glutamate receptor antagonist
lidamidine,0.82,Adrenergic receptor agonist
PF-03814735,0.9017,Aurora kinase inhibitor
GDC-0152,1.0065,XIAP inhibitor
PF-3845,0.9717,FAAH inhibitor
golvatinib,0.6459,VEGFR inhibitor
sertindole,0.5033,Dopamine receptor antagonist|Serotonin receptor antagonist
cisplatin,1.0736,DNA alkylating agent|DNA synthesis inhibitor
vinorelbine,0.9646,Tubulin inhibitor
atorvastatin,0.6794,HMGCR inhibitor
mericitabine,-0.826,HCV inhibitor
volasertib,1.0191,PLK inhibitor
AZD-8055,-0.6723,MTOR inhibitor
SMI-4a,1.3393,Pim kinase inhibitor
vatalanib,1.7615,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
INH1,1.021,Hec1 inhibitor
ibrutinib,1.5164,BTK inhibitor
aripiprazole,0.9101,Serotonin receptor agonist|Serotonin receptor antagonist
erlotinib,1.7069,EGFR inhibitor
nexturastat-a,0.8634,HDAC inhibitor
BAY-87-2243,0.9383,Hypoxia inducible factor inhibitor
ranitidine,-0.8452,Histamine receptor antagonist
HMN-214,0.7885,PLK inhibitor
BIBX-1382,1.5561,Tyrosine kinase inhibitor|EGFR inhibitor
dorzolamide,0.7531,Carbonic anhydrase inhibitor
fludarabine-phosphate,-0.85,DNA synthesis inhibitor|DNA repair enzyme inhibitor|Purine antagonist
KD-023,0.6479,ACAT inhibitor
birinapant,1.103,XIAP inhibitor
SNX-2112,0.973,HSP inhibitor
KPT-185,-1.2486,Exportin antagonist
SNS-314,0.9772,Aurora kinase inhibitor
vidarabine,0.5715,Antiviral
cefditoren-pivoxil,-0.9845,Bacterial cell wall synthesis inhibitor
baicalein,1.3798,Lipoxygenase inhibitor
AZD-5438,0.8297,CDK inhibitor
WZ-4002,1.682,EGFR inhibitor
ZM-447439,0.9562,Aurora kinase inhibitor
benzethonium,-1.1525,Sodium channel blocker
arcyriaflavin-a,-0.8164,CDK inhibitor
xanomeline,0.9269,Acetylcholine receptor agonist
CEP-37440,0.9407,ALK tyrosine kinase receptor inhibitor
valrubicin,0.4909,DNA inhibitor|Topoisomerase inhibitor
floxuridine,0.9896,DNA synthesis inhibitor
SNX-5422,1.0315,HSP inhibitor
tacalcitol,1.0611,Vitamin D receptor agonist
WZ-3146,1.4572,EGFR inhibitor
4-methylgenistein,-1.1717,Protein tyrosine kinase inhibitor
OSI-420,1.5862,EGFR inhibitor
quinisocaine,1.6231,Local anesthetic
bekanamycin,1.1943,Bacterial 30S ribosomal subunit inhibitor
nizatidine,-1.0853,Histamine receptor antagonist
azithromycin,1.103,Bacterial 50S ribosomal subunit inhibitor
cinacalcet,0.8009,Calcium channel activator
BI-78D3,-1.1189,JNK inhibitor
indibulin,0.7381,Tubulin inhibitor
naftifine,1.2037,Fungal squalene epoxidase inhibitor
phenylmercuric-acetate,-1.1669,Other antifungal
IKK-2-inhibitor-V,0.9352,IKK inhibitor|NFkB pathway inhibitor
pazopanib,0.9646,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
bosentan,1.2037,Endothelin receptor antagonist
SCH-900776,0.8771,CHK inhibitor
carbachol,1.1331,Cholinergic receptor agonist
alisertib,1.1911,Aurora kinase inhibitor
KPT-276,-1.0037,Exportin antagonist
tioguanine,0.8245,Purine antagonist
SU-014813,-1.3974,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
pitavastatin,0.8587,HMGCR inhibitor
guanidine,-0.6243,HSP inhibitor
tyrphostin-AG-1296,-0.778,FLT3 inhibitor
JIB04,1.1156,Histone lysine demethylase inhibitor
ulipristal,1.2833,Progesterone receptor antagonist
resiquimod,0.7465,Toll-like receptor agonist
BMS-690514,1.5392,EGFR inhibitor|VEGFR inhibitor
CCT-128930,0.8118,AKT inhibitor
homoharringtonine,0.8472,Protein synthesis inhibitor
YM-155,0.9646,Survivin inhibitor
RS-17053,-1.0709,Adrenergic receptor antagonist
CP-724714,0.7888,Tyrosine kinase inhibitor|EGFR inhibitor
tryptanthrin,0.9856,Cyclooxygenase inhibitor
WYE-354,1.4972,MTOR inhibitor
gamma-aminobutyric-acid,-0.8836,GABA receptor agonist
triamcinolone,0.8572,Glucocorticoid receptor agonist
vandetanib,1.8957,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K77634909,1.303,HSP inducer|Protein kinase inhibitor
CUDC-907,0.9598,PI3K inhibitor
SB-200646,1.0834,Serotonin receptor antagonist
dequalinium,0.9104,PKC inhibitor
entinostat,1.3518,HDAC inhibitor
NVP-BVU972,0.9017,MET inhibitor
mebendazole,0.7384,Tubulin inhibitor
LY-2090314,0.6081,Glycogen synthase kinase inhibitor
oxiperomide,0.5368,Dopamine receptor antagonist
menadione,-0.7346,Mitochondrial DNA polymerase inhibitor|Phosphatase inhibitor
A-674563,-0.5091,AKT inhibitor
PF-4981517,0.9032,Cytochrome P450 inhibitor
crizotinib,0.822,ALK tyrosine kinase receptor inhibitor
dolastatin-10,0.7843,Tubulin inhibitor|Immunostimulant|Microtubule inhibitor|Tubulin polymerisation inhibitor
ixazomib,1.3211,Proteasome inhibitor
pentagastrin,0.6898,CCK receptor agonist
suxibuzone,0.8874,Cyclooxygenase inhibitor
oxaliplatin,0.6479,DNA inhibitor
albendazole,0.5935,Tubulin inhibitor
nimorazole,-1.3206,Bacterial DNA inhibitor
PF-573228,-0.7347,Focal adhesion kinase inhibitor
decitabine,1.1953,DNA methyltransferase inhibitor
NVP-BHG712,0.8594,Ephrin inhibitor
inosine,-0.9412,Neurotrophic agent
Ro-10-5824,-1.1669,Dopamine receptor agonist
GW-583340,1.4637,Receptor tyrosine protein kinase inhibitor|EGFR inhibitor|ErbB2 inhibitor
TAK-285,-0.6195,EGFR inhibitor
triciribine,0.6962,AKT inhibitor
repsox,1.5561,TGF beta receptor inhibitor
erteberel,1.1114,Estrogen receptor agonist
SGI-1776,1.4134,Pim kinase inhibitor
RS-16566,0.9248,Serotonin receptor antagonist
INC-280,0.8964,C-Met inhibitor
cyclocytidine,1.0429,DNA synthesis inhibitor|RNA synthesis inhibitor
azilsartan,0.8472,Angiotensin receptor antagonist
NSC-632839,0.8399,Ubiquitin specific protease inhibitor
SCH-58261,1.1467,Adenosine receptor antagonist
triptolide,0.9687,RNA polymerase inhibitor
tideglusib,1.363,Glycogen synthase kinase inhibitor
maxacalcitol,0.628,Vitamin D receptor agonist
vorinostat,0.8421,HDAC inhibitor
CX-4945,-0.7107,Casein kinase inhibitor
tanespimycin,0.8765,HSP inhibitor
nilotinib,1.4099,Abl kinase inhibitor|Bcr-Abl kinase inhibitor
AC-264613,1.4217,PAR agonist
VTP-27999,0.9352,Renin inhibitor
WZ-8040,1.8957,EGFR inhibitor
PP-121,1.3798,Receptor tyrosine protein kinase inhibitor
triclabendazole,1.384,Microtubule inhibitor
SB-239063,1.3978,P38 MAPK inhibitor
amfenac,1.2875,Cyclooxygenase inhibitor
elesclomol,0.5913,Oxidative stress inducer
navitoclax,-1.2294,BCL inhibitor
batimastat,1.0695,Matrix metalloprotease inhibitor
PD-407824,0.671,PKC inhibitor
repaglinide,-0.734,Insulin secretagogue
navarixin,0.8975,CC chemokine receptor antagonist
daclatasvir,1.3126,HCV inhibitor
ACY-1215,-0.8404,HDAC inhibitor
doxercalciferol,0.9425,Vitamin D receptor agonist
doxifluridine,1.225,Thymidylate synthase inhibitor
chloropyramine,1.144,Histamine receptor antagonist
skepinone-l,1.2507,P38 MAPK inhibitor
NMS-1286937,-0.7732,PLK inhibitor
PTC-209,0.822,BMI-1 inhibitor
JNJ-26481585,0.9303,HDAC inhibitor
MLN-8054,0.864,Mitotic inhibitor|Protein kinase inhibitor|Aurora kinase inhibitor
alvespimycin,1.0695,HSP inhibitor
nizofenone,1.5468,Ion channel antagonist
