"","correlation","Sample","Drug.Set","KS","KS_Normalized","p_value","Position_at_max","FDR_q_value"
"1522","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","phosphatase inhibitor",-0.61765,-1.61,0.0494,1104,1
"1523","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","phosphodiesterase inhibitor",0.60528,1.53,0.0609,142,0.905
"1524","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","PI3K inhibitor",0.1939,0.495,0.994,134,1
"1525","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","PLK inhibitor",0.45667,1.14,0.299,393,0.801
"1526","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","potassium channel blocker",-0.56349,-1.44,0.109,1147,0.611
"1527","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","PPAR receptor agonist",-0.4678,-1.2,0.242,1140,0.859
"1528","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","progesterone receptor agonist",-0.35007,-0.894,0.559,1287,0.857
"1529","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","proteasome inhibitor",-0.62541,-1.6,0.057,1344,0.722
"1530","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","protein synthesis inhibitor",-0.38764,-0.984,0.438,1119,0.861
"1531","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","protein tyrosine kinase inhibitor",0.45583,1.15,0.289,306,0.874
"1532","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","RAF inhibitor",-0.39926,-1.03,0.409,1186,0.803
"1533","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","RET tyrosine kinase inhibitor",-0.34389,-0.896,0.57,902,0.888
"1534","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","retinoid receptor agonist",0.36844,0.929,0.501,446,1
"1535","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","ribonucleotide reductase inhibitor",-0.27229,-0.706,0.831,1090,0.993
"1536","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","serotonin receptor agonist",0.46968,1.17,0.262,219,1
"1537","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","serotonin receptor antagonist",0.44396,1.16,0.266,464,0.907
"1538","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","sodium channel blocker",-0.47672,-1.25,0.189,1017,0.815
"1539","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","src inhibitor",-0.48785,-1.25,0.197,873,0.815
"1540","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","sterol demethylase inhibitor",0.28027,0.716,0.793,64,1
"1541","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","SYK inhibitor",0.62121,1.54,0.0819,203,1
"1542","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","TGF beta receptor inhibitor",-0.57092,-1.44,0.126,1006,0.611
"1543","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","thymidylate synthase inhibitor",-0.56266,-1.46,0.0987,916,0.794
"1544","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","topoisomerase inhibitor",-0.25184,-0.64,0.877,971,0.988
"1545","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","tubulin polymerization inhibitor",0.19881,0.492,0.973,80,0.981
"1546","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","tyrosine kinase inhibitor",0.28144,0.719,0.817,306,1
"1547","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","VEGFR inhibitor",0.35152,0.901,0.568,253,0.988
"1548","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation","Estimate","vitamin D receptor agonist",0.70412,1.77,0.0222,31,0.482
"1549","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","Synthetic_Drug_Set",0.81733,2.07,0,52,0.0558
"1550","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","EGFR inhibitor",0.37954,0.963,0.491,266,1
"1551","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","Abl kinase inhibitor",-0.25485,-0.653,0.883,1247,1
"1552","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","acetylcholine receptor agonist",-0.41338,-1.05,0.396,556,0.885
"1553","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","acetylcholine receptor antagonist",-0.47024,-1.19,0.262,1244,0.795
"1554","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","adenosine receptor antagonist",0.58257,1.46,0.0886,309,0.708
"1555","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","adrenergic receptor agonist",-0.35372,-0.924,0.519,1034,0.81
"1556","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","adrenergic receptor antagonist",0.29274,0.727,0.775,186,1
"1557","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","AKT inhibitor",-0.37207,-0.935,0.529,1164,0.822
"1558","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","ALK tyrosine kinase receptor inhibitor",0.36436,0.934,0.542,148,1
"1559","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","androgen receptor antagonist",-0.32889,-0.851,0.62,882,0.819
"1560","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","antioxidant",-0.68095,-1.72,0.0201,991,1
"1561","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","AP inhibitor",0.22834,0.574,0.928,446,1
"1562","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","ATPase inhibitor",0.31665,0.807,0.696,23,1
"1563","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","Aurora kinase inhibitor",0.19783,0.505,0.975,374,1
"1564","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","bacterial 50S ribosomal subunit inhibitor",0.32244,0.805,0.666,303,0.954
"1565","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","bacterial DNA gyrase inhibitor",-0.38789,-0.976,0.446,1158,0.78
"1566","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","BCL inhibitor",-0.33726,-0.86,0.588,881,0.865
"1567","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","Bcr.Abl kinase inhibitor",0.29789,0.755,0.735,256,1
"1568","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","benzodiazepine receptor agonist",0.23631,0.598,0.918,89,1
"1569","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","bromodomain inhibitor",0.52313,1.35,0.135,133,0.837
"1570","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","calcium channel blocker",-0.33096,-0.851,0.614,1334,0.819
"1571","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","CC chemokine receptor antagonist",0.45962,1.14,0.31,362,0.828
"1572","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","CDK inhibitor",0.31683,0.82,0.689,375,1
"1573","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","CHK inhibitor",0.47302,1.2,0.237,236,1
"1574","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","cyclooxygenase inhibitor",-0.21449,-0.546,0.946,1059,0.984
"1575","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","cytochrome P450 inhibitor",-0.43333,-1.09,0.35,1013,0.979
"1576","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","DNA alkylating agent",0.26793,0.677,0.82,285,1
"1577","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","DNA inhibitor",-0.18322,-0.459,0.988,1118,0.99
"1578","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","DNA methyltransferase inhibitor",-0.42427,-1.06,0.374,996,0.92
"1579","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","DNA polymerase inhibitor",-0.27167,-0.706,0.82,1301,0.967
"1580","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","DNA synthesis inhibitor",-0.41537,-1.04,0.389,1193,0.856
"1581","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","dopamine receptor antagonist",0.56954,1.46,0.103,206,0.708
"1582","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","estrogen receptor agonist",-0.41192,-1.08,0.361,1037,0.933
"1583","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","estrogen receptor antagonist",0.55154,1.38,0.15,406,0.846
"1584","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","FGFR inhibitor",0.45401,1.15,0.294,273,0.904
"1585","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","FLT3 inhibitor",0.22847,0.567,0.921,208,1
"1586","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","glucocorticoid receptor agonist",0.4374,1.09,0.357,338,0.898
"1587","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","glutamate receptor antagonist",-0.24129,-0.613,0.92,1180,0.989
"1588","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","glycogen synthase kinase inhibitor",0.47481,1.19,0.282,287,1
"1589","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","growth factor receptor inhibitor",0.30865,0.806,0.676,457,0.98
"1590","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","HCV inhibitor",-0.30724,-0.778,0.707,892,0.916
"1591","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","HDAC inhibitor",0.40972,1,0.416,140,1
"1592","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","histamine receptor antagonist",-0.39912,-1.03,0.394,1264,0.83
"1593","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","histone lysine methyltransferase inhibitor",0.34757,0.885,0.576,291,0.977
"1594","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","HMGCR inhibitor",-0.5095,-1.33,0.162,985,0.763
"1595","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","HSP inhibitor",0.2231,0.557,0.955,33,1
"1596","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","JAK inhibitor",0.35811,0.912,0.546,416,1
"1597","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","KIT inhibitor",0.36668,0.94,0.495,42,1
"1598","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","MDM inhibitor",0.59996,1.53,0.0668,167,0.922
"1599","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","MEK inhibitor",0.27492,0.691,0.819,129,1
"1600","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","MET inhibitor",-0.6319,-1.63,0.0547,1069,0.902
"1601","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","microtubule inhibitor",0.34668,0.881,0.562,262,0.952
"1602","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","mTOR inhibitor",0.25245,0.626,0.88,428,1
"1603","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","NFkB pathway inhibitor",-0.23437,-0.608,0.923,1315,0.966
"1604","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","opioid receptor agonist",0.51335,1.31,0.162,431,0.868
"1605","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","p38 MAPK inhibitor",0.36224,0.913,0.534,6,1
"1606","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","PARP inhibitor",0.36239,0.898,0.578,281,1
"1607","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","PDGFR tyrosine kinase receptor inhibitor",0.34202,0.858,0.615,65,0.968
"1608","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","phosphatase inhibitor",-0.61765,-1.61,0.0544,1104,0.498
"1609","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","phosphodiesterase inhibitor",0.60528,1.52,0.0897,142,0.77
"1610","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","PI3K inhibitor",0.18125,0.461,0.989,135,0.99
"1611","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","PLK inhibitor",0.45741,1.18,0.268,392,0.944
"1612","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","potassium channel blocker",-0.56349,-1.46,0.102,1147,0.758
"1613","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","PPAR receptor agonist",-0.4678,-1.21,0.241,1140,0.818
"1614","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","progesterone receptor agonist",-0.38577,-0.977,0.457,954,0.815
"1615","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","proteasome inhibitor",-0.62541,-1.62,0.069,1344,0.633
"1616","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","protein synthesis inhibitor",-0.38764,-1.01,0.454,1119,0.829
"1617","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","protein tyrosine kinase inhibitor",0.45583,1.15,0.299,306,0.904
"1618","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","RAF inhibitor",-0.39926,-0.985,0.447,1186,0.839
"1619","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","RET tyrosine kinase inhibitor",-0.34389,-0.89,0.595,902,0.842
"1620","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","retinoid receptor agonist",0.36993,0.949,0.532,444,1
"1621","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","ribonucleotide reductase inhibitor",-0.27229,-0.707,0.796,1090,0.998
"1622","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","serotonin receptor agonist",0.46893,1.18,0.256,220,0.944
"1623","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","serotonin receptor antagonist",0.44545,1.14,0.306,462,0.828
"1624","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","sodium channel blocker",-0.47672,-1.26,0.216,1017,0.767
"1625","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","src inhibitor",-0.48785,-1.26,0.221,873,0.767
"1626","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","sterol demethylase inhibitor",0.27878,0.711,0.784,66,1
"1627","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","SYK inhibitor",0.62121,1.58,0.0716,203,0.97
"1628","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","TGF beta receptor inhibitor",-0.57092,-1.45,0.102,1006,0.656
"1629","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","thymidylate synthase inhibitor",-0.56266,-1.44,0.0983,916,0.586
"1630","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","topoisomerase inhibitor",-0.24419,-0.624,0.884,971,1
"1631","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","tubulin polymerization inhibitor",0.19866,0.495,0.985,305,1
"1632","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","tyrosine kinase inhibitor",0.28144,0.705,0.816,306,1
"1633","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","VEGFR inhibitor",0.35152,0.887,0.599,253,1
"1634","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation","Estimate","vitamin D receptor agonist",0.70114,1.76,0.0191,35,0.489
"1635","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","Synthetic_Drug_Set",0.85237,2.19,0,16,0.00898
"1636","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","EGFR inhibitor",0.41928,1.06,0.39,268,0.955
"1637","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","Abl kinase inhibitor",-0.25485,-0.65,0.88,1247,0.986
"1638","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","acetylcholine receptor agonist",-0.41487,-1.05,0.399,558,0.833
"1639","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","acetylcholine receptor antagonist",-0.47024,-1.21,0.225,1244,0.848
"1640","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","adenosine receptor antagonist",0.58108,1.49,0.0865,311,0.748
"1641","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","adrenergic receptor agonist",-0.35372,-0.906,0.534,1034,0.913
"1642","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","adrenergic receptor antagonist",0.29124,0.73,0.774,188,1
"1643","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","AKT inhibitor",-0.37207,-0.937,0.495,1164,0.89
"1644","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","ALK tyrosine kinase receptor inhibitor",0.36287,0.923,0.523,150,1
"1645","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","androgen receptor antagonist",-0.32889,-0.834,0.633,882,0.901
"1646","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","antioxidant",-0.68095,-1.76,0.0217,991,0.843
"1647","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","AP inhibitor",0.22685,0.58,0.939,448,1
"1648","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","ATPase inhibitor",-0.32177,-0.82,0.642,1075,0.891
"1649","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","Aurora kinase inhibitor",0.19632,0.494,0.982,376,0.982
"1650","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","bacterial 50S ribosomal subunit inhibitor",0.32095,0.808,0.681,305,1
"1651","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","bacterial DNA gyrase inhibitor",0.34339,0.891,0.568,199,1
"1652","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","BCL inhibitor",-0.33726,-0.848,0.609,881,0.952
"1653","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","Bcr.Abl kinase inhibitor",0.2964,0.749,0.777,258,1
"1654","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","benzodiazepine receptor agonist",0.23556,0.609,0.931,90,1
"1655","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","bromodomain inhibitor",0.52165,1.34,0.163,135,0.902
"1656","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","calcium channel blocker",-0.33096,-0.837,0.661,1334,0.933
"1657","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","CC chemokine receptor antagonist",0.45739,1.15,0.3,365,0.932
"1658","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","CDK inhibitor",0.31533,0.776,0.718,377,1
"1659","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","CHK inhibitor",0.47153,1.17,0.288,238,1
"1660","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","cyclooxygenase inhibitor",-0.21449,-0.548,0.956,1059,0.985
"1661","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","cytochrome P450 inhibitor",-0.43333,-1.13,0.33,1013,0.824
"1662","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","DNA alkylating agent",0.26644,0.667,0.854,287,1
"1663","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","DNA inhibitor",-0.18322,-0.464,0.988,1118,0.99
"1664","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","DNA methyltransferase inhibitor",-0.42427,-1.08,0.357,996,0.879
"1665","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","DNA polymerase inhibitor",-0.27167,-0.685,0.847,1301,0.973
"1666","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","DNA synthesis inhibitor",-0.41537,-1.07,0.368,1193,0.844
"1667","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","dopamine receptor antagonist",0.56804,1.43,0.115,208,0.823
"1668","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","estrogen receptor agonist",0.38701,0.982,0.457,12,1
"1669","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","estrogen receptor antagonist",0.55005,1.38,0.127,408,0.88
"1670","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","FGFR inhibitor",0.45252,1.14,0.321,275,0.904
"1671","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","FLT3 inhibitor",0.22697,0.583,0.934,210,1
"1672","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","glucocorticoid receptor agonist",0.43514,1.08,0.359,341,0.954
"1673","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","glutamate receptor antagonist",-0.24129,-0.634,0.893,1180,0.973
"1674","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","glycogen synthase kinase inhibitor",0.47332,1.2,0.23,289,1
"1675","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","growth factor receptor inhibitor",0.30716,0.77,0.736,459,1
"1676","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","HCV inhibitor",-0.30724,-0.789,0.694,892,0.913
"1677","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","HDAC inhibitor",0.40821,1.03,0.404,142,0.988
"1678","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","histamine receptor antagonist",-0.39912,-1.03,0.398,1264,0.78
"1679","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","histone lysine methyltransferase inhibitor",0.34609,0.863,0.605,293,0.969
"1680","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","HMGCR inhibitor",-0.5095,-1.33,0.168,985,0.72
"1681","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","HSP inhibitor",0.22161,0.551,0.964,35,1
"1682","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","JAK inhibitor",0.35661,0.906,0.533,418,1
"1683","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","KIT inhibitor",0.36518,0.926,0.525,44,1
"1684","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","MDM inhibitor",0.59847,1.49,0.0846,169,0.748
"1685","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","MEK inhibitor",0.27342,0.684,0.843,131,1
"1686","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","MET inhibitor",-0.6319,-1.62,0.0584,1069,0.926
"1687","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","microtubule inhibitor",0.34519,0.861,0.607,264,0.944
"1688","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","mTOR inhibitor",0.26907,0.668,0.829,430,1
"1689","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","NFkB pathway inhibitor",-0.23437,-0.599,0.947,1315,0.978
"1690","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","opioid receptor agonist",0.51186,1.27,0.194,433,1
"1691","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","p38 MAPK inhibitor",0.36001,0.895,0.559,9,1
"1692","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","PARP inhibitor",0.36091,0.931,0.517,283,1
"1693","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","PDGFR tyrosine kinase receptor inhibitor",0.34127,0.871,0.627,66,0.985
"1694","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","phosphatase inhibitor",-0.61765,-1.59,0.0596,1104,0.524
"1695","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","phosphodiesterase inhibitor",0.60379,1.54,0.0879,144,0.901
"1696","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","PI3K inhibitor",0.20441,0.525,0.955,137,1
"1697","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","PLK inhibitor",0.45592,1.16,0.299,394,1
"1698","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","potassium channel blocker",-0.56349,-1.44,0.103,1147,0.563
"1699","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","PPAR receptor agonist",-0.4678,-1.19,0.271,1140,0.748
"1700","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","progesterone receptor agonist",-0.30375,-0.767,0.712,1287,0.918
"1701","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","proteasome inhibitor",-0.62541,-1.61,0.0489,1344,0.645
"1702","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","protein synthesis inhibitor",-0.38764,-0.997,0.422,1119,0.804
"1703","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","protein tyrosine kinase inhibitor",0.45434,1.15,0.295,308,0.932
"1704","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","RAF inhibitor",-0.39926,-1.04,0.396,1186,0.804
"1705","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","RET tyrosine kinase inhibitor",-0.34389,-0.867,0.603,902,0.953
"1706","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","retinoid receptor agonist",0.36844,0.943,0.521,446,1
"1707","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","ribonucleotide reductase inhibitor",-0.27229,-0.692,0.821,1090,0.997
"1708","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","serotonin receptor agonist",0.46819,1.2,0.259,221,1
"1709","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","serotonin receptor antagonist",0.44396,1.12,0.309,464,0.904
"1710","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","sodium channel blocker",-0.47672,-1.19,0.275,1017,0.748
"1711","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","src inhibitor",-0.48785,-1.25,0.216,873,0.832
"1712","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","sterol demethylase inhibitor",0.27804,0.705,0.814,67,1
"1713","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","SYK inhibitor",0.61973,1.55,0.0699,205,1
"1714","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","TGF beta receptor inhibitor",-0.57092,-1.48,0.0936,1006,0.672
"1715","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","thymidylate synthase inhibitor",-0.56266,-1.44,0.109,916,0.563
"1716","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation","Estimate","topoisomerase inhibitor",0.23893,0.604,0.928,111,1
